obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	gA(s^-1)	fik	log_gf	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"723.811"	"0.003"	"723.811"	""	"4.04e+05"	"5.29e-04"	"-2.50"		"2.037016"	"3.749481"	"6d"	"2D"	"5/2"	"11p"	"2P*"	"3/2"		"T6898"	"L12264"	
"728.5892"	"0.0004"	"728.5892"	""	"4.16e+07"	"8.28e-02"	"-0.480"		"1.72635573"	"3.4275894"	"7p"	"2P*"	"3/2"	"8d"	"2D"	"5/2"		"T6898"	"L12264"	
"730.9713"	"0.0004"	"730.9713"	""	"4.52e+06"	"9.06e-03"	"-1.44"		"1.72635573"	"3.4220453"	"7p"	"2P*"	"3/2"	"8d"	"2D"	"3/2"		"T6898"	"L12264"	
"744.198"	"0.004"	"744.1976"	""	"5.50e+06"	"2.28e-02"	"-1.34"		"1.51724535"	"3.182798"	"7p"	"2P*"	"1/2"	"9s"	"2S"	"1/2"		"T6898"	"L12264"	
"770.904"	"0.004"	"770.904"	""	"7.96e+04"	"1.77e-04"	"-3.15"		"2.012247"	"3.620102"	"6d"	"2D"	"3/2"	"10p"	"2P*"	"3/2"		"T6898"	"L12264"	
"778.947"	"0.004"	"778.947"	""	"3.90e+05"	"8.87e-04"	"-2.45"		"2.012247"	"3.603499"	"6d"	"2D"	"3/2"	"10p"	"2P*"	"1/2"		"T6898"	"L12264"	
"782.965"	"0.004"	"782.965"	""	"6.88e+05"	"1.05e-03"	"-2.20"		"2.037016"	"3.620102"	"6d"	"2D"	"5/2"	"10p"	"2P*"	"3/2"		"T6898"	"L12264"	
"790.171"	"0.004"	"790.171"	""	"2.62e+04"	"1.23e-04"	"-3.61"		"2.447446"	"4.016095"	"8s"	"2S"	"1/2"	"20p"	"2P*"	"3/2"		"T6898"	"L12264"	
"790.536"	"0.004"	"790.536"	""	"1.31e+04"	"6.15e-05"	"-3.91"		"2.447446"	"4.015371"	"8s"	"2S"	"1/2"	"20p"	"2P*"	"1/2"		"T6898"	"L12264"	
"794.265"	"0.004"	"794.265"	""	"3.19e+04"	"1.51e-04"	"-3.52"		"2.447446"	"4.008009"	"8s"	"2S"	"1/2"	"19p"	"2P*"	"3/2"		"T6898"	"L12264"	
"794.716"	"0.004"	"794.716"	""	"1.60e+04"	"7.57e-05"	"-3.82"		"2.447446"	"4.007123"	"8s"	"2S"	"1/2"	"19p"	"2P*"	"1/2"		"T6898"	"L12264"	
"799.362"	"0.004"	"799.362"	""	"3.97e+04"	"1.90e-04"	"-3.42"		"2.447446"	"3.998058"	"8s"	"2S"	"1/2"	"18p"	"2P*"	"3/2"		"T6898"	"L12264"	
"799.929"	"0.004"	"799.929"	""	"1.99e+04"	"9.53e-05"	"-3.72"		"2.447446"	"3.996959"	"8s"	"2S"	"1/2"	"18p"	"2P*"	"1/2"		"T6898"	"L12264"	
"805.826"	"0.004"	"805.826"	""	"5.16e+04"	"2.51e-04"	"-3.30"		"2.447446"	"3.985621"	"8s"	"2S"	"1/2"	"17p"	"2P*"	"3/2"		"T6898"	"L12264"	
"806.552"	"0.004"	"806.552"	""	"2.58e+04"	"1.26e-04"	"-3.60"		"2.447446"	"3.984236"	"8s"	"2S"	"1/2"	"17p"	"2P*"	"1/2"		"T6898"	"L12264"	
"814.203"	"0.004"	"814.203"	""	"6.80e+04"	"3.38e-04"	"-3.17"		"2.447446"	"3.969794"	"8s"	"2S"	"1/2"	"16p"	"2P*"	"3/2"		"T6898"	"L12264"	
"815.156"	"0.004"	"815.156"	""	"3.32e+04"	"1.65e-04"	"-3.48"		"2.447446"	"3.968015"	"8s"	"2S"	"1/2"	"16p"	"2P*"	"1/2"		"T6898"	"L12264"	
"816.9418"	"0.0002"	"816.94184"	""	"6.44e+07"	"3.22e-01"	"-0.191"		"0.00000000"	"1.51724535"	"7s"	"2S"	"1/2"	"7p"	"2P*"	"1/2"		"T6898"	"L12264"	
"825.355"	"0.004"	"825.355"	""	"9.12e+04"	"4.66e-04"	"-3.03"		"2.447446"	"3.949225"	"8s"	"2S"	"1/2"	"15p"	"2P*"	"3/2"		"T6898"	"L12264"	
"826.644"	"0.004"	"826.644"	""	"4.56e+04"	"2.34e-04"	"-3.33"		"2.447446"	"3.946883"	"8s"	"2S"	"1/2"	"15p"	"2P*"	"1/2"		"T6898"	"L12264"	
"832.645"	"0.002"	"832.6449"	""	"6.64e+07"	"3.45e-01"	"-0.161"		"1.51724535"	"3.005877"	"7p"	"2P*"	"1/2"	"7d"	"2D"	"3/2"		"T6898"	"L12264"	
"840.705"	"0.004"	"840.705"	""	"1.27e+05"	"6.74e-04"	"-2.87"		"2.447446"	"3.921805"	"8s"	"2S"	"1/2"	"14p"	"2P*"	"3/2"		"T6898"	"L12264"	
"842.515"	"0.004"	"842.515"	""	"6.34e+04"	"3.38e-04"	"-3.17"		"2.447446"	"3.918638"	"8s"	"2S"	"1/2"	"14p"	"2P*"	"1/2"		"T6898"	"L12264"	
"851.047"	"0.004"	"851.047"	""	"7.32e+06"	"1.99e-02"	"-1.10"		"1.72635573"	"3.182798"	"7p"	"2P*"	"3/2"	"9s"	"2S"	"1/2"		"T6898"	"L12264"	
"862.763"	"0.004"	"862.763"	""	"1.87e+05"	"1.05e-03"	"-2.68"		"2.447446"	"3.884110"	"8s"	"2S"	"1/2"	"13p"	"2P*"	"3/2"		"T6898"	"L12264"	
"865.433"	"0.004"	"865.433"	""	"9.32e+04"	"5.24e-04"	"-2.98"		"2.447446"	"3.879679"	"8s"	"2S"	"1/2"	"13p"	"2P*"	"1/2"		"T6898"	"L12264"	
"896.359"	"0.005"	"896.359"	""	"3.01e+05"	"1.82e-03"	"-2.44"		"2.447446"	"3.830264"	"8s"	"2S"	"1/2"	"12p"	"2P*"	"3/2"		"T6898"	"L12264"	
"897.715"	"0.005"	"897.715"	""	"1.54e+05"	"4.65e-04"	"-2.73"		"2.012247"	"3.392976"	"6d"	"2D"	"3/2"	"9p"	"2P*"	"3/2"		"T6898"	"L12264"	
"900.572"	"0.005"	"900.573"	""	"1.46e+05"	"8.89e-04"	"-2.75"		"2.447446"	"3.823794"	"8s"	"2S"	"1/2"	"12p"	"2P*"	"1/2"		"T6898"	"L12264"	
"914.113"	"0.005"	"914.113"	""	"1.32e+06"	"2.77e-03"	"-1.78"		"2.037016"	"3.392976"	"6d"	"2D"	"5/2"	"9p"	"2P*"	"3/2"		"T6898"	"L12264"	
"918.162"	"0.005"	"918.162"	""	"7.22e+05"	"2.28e-03"	"-2.04"		"2.012247"	"3.362230"	"6d"	"2D"	"3/2"	"9p"	"2P*"	"1/2"		"T6898"	"L12264"	
"951.973"	"0.005"	"951.973"	""	"5.20e+05"	"3.53e-03"	"-2.15"		"2.447446"	"3.749481"	"8s"	"2S"	"1/2"	"11p"	"2P*"	"3/2"		"T6898"	"L12264"	
"959.329"	"0.005"	"959.329"	""	"2.58e+05"	"1.78e-03"	"-2.45"		"2.447446"	"3.739496"	"8s"	"2S"	"1/2"	"11p"	"2P*"	"1/2"		"T6898"	"L12264"	
"960.450"	"0.003"	"960.450"	""	"7.74e+07"	"2.68e-01"	"0.030"		"1.72635573"	"3.016899"	"7p"	"2P*"	"3/2"	"7d"	"2D"	"5/2"		"T6898"	"L12264"	
"968.724"	"0.003"	"968.724"	""	"8.36e+06"	"2.94e-02"	"-0.930"		"1.72635573"	"3.005877"	"7p"	"2P*"	"3/2"	"7d"	"2D"	"3/2"		"T6898"	"L12264"	
