obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	gA(s^-1)	fik	log_gf	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"413.584"	"0.002"	"413.59142"	"0.00003"	""	"4.04e+04"	"2.59e-05"	"-3.98"	B	"2.104429202"	"[5.10132984]"	"2p6.3p"	"2P*"	"3/2"	"2p6.19d"	"2D"	"3/2"		"T7799"	"L9493"	
"413.584"	"0.002"	"413.59143"	"0.00003"	""	"3.64e+05"	"2.33e-04"	"-3.03"	B	"2.104429202"	"[5.10132972]"	"2p6.3p"	"2P*"	"3/2"	"2p6.19d"	"2D"	"5/2"		"T7799"	"L9493"	
"413.774"	"0.002"	"413.77933"	"0.00003"	""	"6.80e+04"	"4.37e-05"	"-3.76"	B	"2.104429202"	"[5.09996887]"	"2p6.3p"	"2P*"	"3/2"	"2p6.20s"	"2S"	"1/2"		"T7799"	"L9493"	
"414.184"	"0.002"	"414.18770"	"0.00003"	""	"4.48e+04"	"2.88e-05"	"-3.94"	B	"2.104429202"	"[5.09701544]"	"2p6.3p"	"2P*"	"3/2"	"2p6.18d"	"2D"	"3/2"		"T7799"	"L9493"	
"414.184"	"0.002"	"414.18770"	"0.00003"	""	"4.03e+05"	"2.59e-04"	"-2.98"	B	"2.104429202"	"[5.09701544]"	"2p6.3p"	"2P*"	"3/2"	"2p6.18d"	"2D"	"5/2"		"T7799"	"L9493"	
"414.403"	"0.002"	"414.40972"	"0.00003"	""	"8.02e+04"	"5.17e-05"	"-3.68"	B	"2.104429202"	"[5.09541220]"	"2p6.3p"	"2P*"	"3/2"	"2p6.19s"	"2S"	"1/2"		"T7799"	"L9493"	
"414.893"	"0.002"	"414.89457"	"0.00003"	""	"5.68e+04"	"3.67e-05"	"-3.83"	B	"2.104429202"	"[5.09191696]"	"2p6.3p"	"2P*"	"3/2"	"2p6.17d"	"2D"	"3/2"		"T7799"	"L9493"	
"414.893"	"0.002"	"414.89459"	"0.00003"	""	"5.11e+05"	"3.30e-04"	"-2.88"	B	"2.104429202"	"[5.09191684]"	"2p6.3p"	"2P*"	"3/2"	"2p6.17d"	"2D"	"5/2"		"T7799"	"L9493"	
"415.175"	"0.002"	"415.15955"	"0.00003"	""	"9.56e+04"	"6.18e-05"	"-3.61"	B	"2.104429202"	"[5.09001021]"	"2p6.3p"	"2P*"	"3/2"	"2p6.18s"	"2S"	"1/2"		"T7799"	"L9493"	
"415.740"	"0.002"	"415.74139"	"0.00003"	""	"6.84e+04"	"4.43e-05"	"-3.75"	B	"2.104429202"	"[5.08583194]"	"2p6.3p"	"2P*"	"3/2"	"2p6.16d"	"2D"	"3/2"		"T7799"	"L9493"	
"415.740"	"0.002"	"415.74140"	"0.00003"	""	"6.18e+05"	"4.01e-04"	"-2.79"	B	"2.104429202"	"[5.08583182]"	"2p6.3p"	"2P*"	"3/2"	"2p6.16d"	"2D"	"5/2"		"T7799"	"L9493"	
