obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),fik,log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""610.354""","=""610.353""","=""0.005""","=""320""","=""2.2855e+08""","=""6.3858e-01""","=""0.10625""",AAA,"=""1.847818""","=""3.878608""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.3d""","=""2D""","=""3/2""",,"=""T6505LS""","=""L7397""",
"=""""","=""610.364""","=""0.005""","=""""","=""4.1137e+08""","=""5.7472e-01""","=""0.36151""",AAA,"=""1.847860""","=""3.878613""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.3d""","=""2D""","=""5/2""",,"=""T6505LS""","=""""",
"=""610.365""","=""610.366""","=""0.005""","=""320""","=""4.5708e+07""","=""6.3856e-02""","=""-0.59274""",AAA,"=""1.847860""","=""3.878608""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.3d""","=""2D""","=""3/2""",,"=""T6505LS""","=""L7397""",
"=""670.776""","=""670.776""","=""0.006""","=""3600""","=""1.4756e+08""","=""4.9797e-01""","=""-0.00177""",AAA,"=""0.000000""","=""1.847860""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.2p""","=""2P*""","=""3/2""",,"=""T6505LS""","=""L7397""",
"=""670.791""","=""670.791""","=""0.006""","=""3600""","=""7.3780e+07""","=""2.4899e-01""","=""-0.3028""",AAA,"=""0.000000""","=""1.847818""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.2p""","=""2P*""","=""1/2""",,"=""T6505LS""","=""L7397""",
"=""""","=""687.308""","=""0.007""","=""""","=""5.56e+04""","=""1.97e-04""","=""-3.404""",B,"=""3.373129""","=""5.176542""","=""1s2.3s""","=""2S""","=""1/2""","=""1s2.8p""","=""2P*""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""687.308""","=""0.007""","=""""","=""1.12e+05""","=""3.95e-04""","=""-3.102""",B,"=""3.373129""","=""5.176542""","=""1s2.3s""","=""2S""","=""1/2""","=""1s2.8p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""713.517""","=""0.007""","=""""","=""7.18e+04""","=""2.75e-04""","=""-3.26""",B,"=""3.373129""","=""5.110300""","=""1s2.3s""","=""2S""","=""1/2""","=""1s2.7p""","=""2P*""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""713.517""","=""0.007""","=""""","=""1.44e+05""","=""5.51e-04""","=""-2.958""",B,"=""3.373129""","=""5.110300""","=""1s2.3s""","=""2S""","=""1/2""","=""1s2.7p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""758.245""","=""0.008""","=""""","=""8.74e+04""","=""3.76e-04""","=""-3.123""",B,"=""3.373129""","=""5.007826""","=""1s2.3s""","=""2S""","=""1/2""","=""1s2.6p""","=""2P*""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""758.245""","=""0.008""","=""""","=""1.75e+05""","=""7.55e-04""","=""-2.821""",B,"=""3.373129""","=""5.007826""","=""1s2.3s""","=""2S""","=""1/2""","=""1s2.6p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
"=""812.623""","=""812.622""","=""0.009""","=""48""","=""2.2312e+07""","=""1.1050e-01""","=""-0.65559""",AAA,"=""1.847818""","=""3.373129""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.3s""","=""2S""","=""1/2""",,"=""T7401LS""","=""L7397""",
"=""812.645""","=""812.645""","=""0.009""","=""48""","=""4.4618e+07""","=""1.1050e-01""","=""-0.3546""",AAA,"=""1.847860""","=""3.373129""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.3s""","=""2S""","=""1/2""",,"=""T7401LS""","=""L7397""",
"=""""","=""846.548""","=""0.010""","=""""","=""8.08e+04""","=""4.34e-04""","=""-3.061""",B,"=""3.373129""","=""4.837313""","=""1s2.3s""","=""2S""","=""1/2""","=""1s2.5p""","=""2P*""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""846.548""","=""0.010""","=""""","=""1.62e+05""","=""8.68e-04""","=""-2.760""",B,"=""3.373129""","=""4.837313""","=""1s2.3s""","=""2S""","=""1/2""","=""1s2.5p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""921.75""","=""0.09""","=""""","=""2.69e+06""","=""1.71e-02""","=""-1.47""",A,"=""3.834258""","=""5.17898""","=""1s2.3p""","=""2P*""","=""1/2""","=""1s2.8d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""921.75""","=""0.09""","=""""","=""5.40e+05""","=""1.72e-03""","=""-2.162""",A,"=""3.834258""","=""5.17898""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s2.8d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""921.75""","=""0.09""","=""""","=""4.86e+06""","=""1.55e-02""","=""-1.208""",A,"=""3.834258""","=""5.17898""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s2.8d""","=""2D""","=""5/2""",,"=""T5118LS""","=""""",
"=""""","=""937.68""","=""0.09""","=""""","=""3.68e+05""","=""2.43e-03""","=""-2.314""",B,"=""3.834258""","=""5.15614""","=""1s2.3p""","=""2P*""","=""1/2""","=""1s2.8s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""937.68""","=""0.09""","=""""","=""7.40e+05""","=""2.44e-03""","=""-2.011""",B,"=""3.834258""","=""5.15614""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s2.8s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""954.980""","=""0.013""","=""""","=""1.83e+04""","=""6.25e-05""","=""-3.602""",B,"=""3.878608""","=""5.176542""","=""1s2.3d""","=""2D""","=""3/2""","=""1s2.8p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""954.980""","=""0.013""","=""""","=""9.14e+04""","=""3.12e-04""","=""-2.903""",B,"=""3.878608""","=""5.176542""","=""1s2.3d""","=""2D""","=""3/2""","=""1s2.8p""","=""2P*""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""954.984""","=""0.013""","=""""","=""1.64e+05""","=""3.75e-04""","=""-2.648""",B,"=""3.878613""","=""5.176542""","=""1s2.3d""","=""2D""","=""5/2""","=""1s2.8p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""968.62""","=""0.09""","=""""","=""8.16e+05""","=""2.87e-03""","=""-1.940""",A,"=""3.834258""","=""5.11391""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s2.7d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""968.62""","=""0.09""","=""""","=""7.38e+06""","=""2.59e-02""","=""-0.985""",A,"=""3.834258""","=""5.11391""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s2.7d""","=""2D""","=""5/2""",,"=""T5118LS""","=""""",
"=""""","=""968.62""","=""0.09""","=""""","=""4.08e+06""","=""2.87e-02""","=""-1.241""",A,"=""3.834258""","=""5.11391""","=""1s2.3p""","=""2P*""","=""1/2""","=""1s2.7d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""995.49""","=""0.10""","=""""","=""5.74e+05""","=""4.27e-03""","=""-2.068""",B,"=""3.834258""","=""5.07937""","=""1s2.3p""","=""2P*""","=""1/2""","=""1s2.7s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""995.49""","=""0.10""","=""""","=""1.15e+06""","=""4.27e-03""","=""-1.767""",B,"=""3.834258""","=""5.07937""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s2.7s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""1006.341""","=""0.014""","=""""","=""2.84e+04""","=""1.08e-04""","=""-3.365""",A,"=""3.878608""","=""5.110300""","=""1s2.3d""","=""2D""","=""3/2""","=""1s2.7p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""1006.341""","=""0.014""","=""""","=""1.42e+05""","=""5.39e-04""","=""-2.667""",A,"=""3.878608""","=""5.110300""","=""1s2.3d""","=""2D""","=""3/2""","=""1s2.7p""","=""2P*""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""1006.345""","=""0.014""","=""""","=""2.54e+05""","=""6.44e-04""","=""-2.41""",A,"=""3.878613""","=""5.110300""","=""1s2.3d""","=""2D""","=""5/2""","=""1s2.7p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""1051.022""","=""0.016""","=""""","=""1.18e+07""","=""4.90e-02""","=""-0.708""",A,"=""3.834258""","=""5.013589""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s2.6d""","=""2D""","=""5/2""",,"=""T5118LS""","=""""",
"=""""","=""1051.023""","=""0.016""","=""""","=""1.31e+06""","=""5.44e-03""","=""-1.662""",A,"=""3.834258""","=""5.013587""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s2.6d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""1051.023""","=""0.016""","=""""","=""6.56e+06""","=""5.45e-02""","=""-0.963""",A,"=""3.834258""","=""5.013587""","=""1s2.3p""","=""2P*""","=""1/2""","=""1s2.6d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""1079.218""","=""0.016""","=""""","=""1.4e+03""","=""1.2e-05""","=""-4.62""",D,"=""3.373129""","=""4.521648""","=""1s2.3s""","=""2S""","=""1/2""","=""1s2.4p""","=""2P*""","=""1/2""",,"=""T6620,T5118,LS""","=""""",
