obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),fik,log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""452.74555""","=""0.00006""","=""452.745542""","=""0.000023""","=""85""","=""4.3e+07""","=""2.7e-02""","=""-0.87""",D,"=""2.98716595""","=""5.72489453""","=""3d4.4s2""","=""a 3P""","=""2""","=""3d5.(4P).4p""","=""y 3D*""","=""3""",,"=""T3963""","=""L14866""",
"=""452.98450""","=""0.00006""","=""452.98453""","=""0.00003""","=""75""","=""1.2e+07""","=""2.9e-03""","=""-1.43""",C+,"=""2.54410014""","=""5.28038436""","=""3d5.(4G).4s""","=""a 5G""","=""6""","=""3d5.(4G).4p""","=""z 5G*""","=""5""",,"=""T4913""","=""L14866""",
"=""453.04715""","=""0.00015""","=""453.04725""","=""0.00004""","=""8""","=""4.7e+06""","=""1.6e-03""","=""-1.84""",D,"=""2.96741996""","=""5.70332536""","=""3d4.4s2""","=""a 3H""","=""4""","=""3d5.(4G).4p""","=""y 3F*""","=""3""",,"=""T3963""","=""L14866""",
"=""453.06824""","=""0.00005""","=""453.068239""","=""0.000021""","=""190""","=""4.0e+07""","=""1.4e-02""","=""-0.91""",B,"=""2.54460569""","=""5.28038436""","=""3d5.(4G).4s""","=""a 5G""","=""4""","=""3d5.(4G).4p""","=""z 5G*""","=""5""",,"=""T4913""","=""L14866""",
"=""453.07379""","=""0.00005""","=""453.073802""","=""0.000021""","=""770""","=""1.74e+08""","=""4.87e-02""","=""-0.272""",B,"=""2.54463928""","=""5.28038436""","=""3d5.(4G).4s""","=""a 5G""","=""5""","=""3d5.(4G).4p""","=""z 5G*""","=""5""",,"=""T4913""","=""L14866""",
"=""453.09243""","=""0.00011""","=""453.092389""","=""0.000021""","=""10""","=""4.6e+06""","=""2.0e-03""","=""-1.85""",D,"=""3.01329987""","=""5.74893273""","=""3d5.(4D).4s""","=""b 5D""","=""3""","=""3d4.(3F1).4s.4p.(3P*)""","=""w 5D*""","=""3""",,"=""T3963""","=""L14866""",
"=""453.12305""","=""0.00011""","=""453.123012""","=""0.000023""","=""10""","=""5.0e+06""","=""5.1e-03""","=""-1.81""",D,"=""3.01114742""","=""5.74659540""","=""3d5.(4D).4s""","=""b 5D""","=""1""","=""3d4.(3F1).4s.4p.(3P*)""","=""w 5D*""","=""2""",,"=""T3963""","=""L14866""",
"=""453.51357""","=""0.00005""","=""453.513583""","=""0.000021""","=""170""","=""3.4e+07""","=""1.5e-02""","=""-0.98""",B,"=""2.54426770""","=""5.27735992""","=""3d5.(4G).4s""","=""a 5G""","=""3""","=""3d5.(4G).4p""","=""z 5G*""","=""4""",,"=""u10,T4913""","=""L14866""",
"=""453.56966""","=""0.00005""","=""453.569676""","=""0.000021""","=""600""","=""1.34e+08""","=""4.60e-02""","=""-0.383""",B,"=""2.54460569""","=""5.27735992""","=""3d5.(4G).4s""","=""a 5G""","=""4""","=""3d5.(4G).4p""","=""z 5G*""","=""4""",,"=""T4913""","=""L14866""",
"=""453.57524""","=""0.00005""","=""453.575250""","=""0.000023""","=""120""","=""2.2e+07""","=""6.3e-03""","=""-1.16""",C+,"=""2.54463928""","=""5.27735992""","=""3d5.(4G).4s""","=""a 5G""","=""5""","=""3d5.(4G).4p""","=""z 5G*""","=""4""",,"=""T4913""","=""L14866""",
"=""453.97810""","=""0.00005""","=""453.97810""","=""0.00003""","=""110""","=""2.2e+07""","=""1.4e-02""","=""-1.16""",B,"=""2.54383615""","=""5.27413188""","=""3d5.(4G).4s""","=""a 5G""","=""2""","=""3d5.(4G).4p""","=""z 5G*""","=""3""",,"=""u10,T4913""","=""L14866""",
"=""454.04984""","=""0.00005""","=""454.04987""","=""0.00004""","=""500""","=""1.05e+08""","=""4.64e-02""","=""-0.489""",B,"=""2.54426770""","=""5.27413188""","=""3d5.(4G).4s""","=""a 5G""","=""3""","=""3d5.(4G).4p""","=""z 5G*""","=""3""",,"=""u10,T4913""","=""L14866""",
"=""454.07044""","=""0.00005""","=""454.070408""","=""0.000021""","=""460""","=""3.45e+08""","=""9.71e-02""","=""0.029""",B,"=""3.10437812""","=""5.83411881""","=""3d5.(4G).4s""","=""a 3G""","=""5""","=""3d5.(4G).4p""","=""y 3G*""","=""5""",,"=""u10""","=""L14866""",
"=""454.10606""","=""0.00005""","=""454.10609""","=""0.00004""","=""120""","=""2.4e+07""","=""8.2e-03""","=""-1.13""",B,"=""2.54460569""","=""5.27413188""","=""3d5.(4G).4s""","=""a 5G""","=""4""","=""3d5.(4G).4p""","=""z 5G*""","=""3""",,"=""u10,T4913""","=""L14866""",
"=""454.15066""","=""0.00006""","=""454.150675""","=""0.000021""","=""57""","=""2.7e+07""","=""1.2e-02""","=""-1.08""",D,"=""3.07899825""","=""5.80825650""","=""3d5.(4G).4s""","=""a 3G""","=""3""","=""3d4.(3H).4s.4p.(3P*)""","=""z 3G*""","=""3""",,"=""T3963""","=""L14866""",
"=""454.37349""","=""0.00007""","=""454.37349""","=""0.00003""","=""18""","=""9.0e+06""","=""2.5e-03""","=""-1.55""",D,"=""2.98256889""","=""5.71048876""","=""3d4.4s2""","=""a 3H""","=""5""","=""3d5.(4G).4p""","=""y 3F*""","=""4""",,"=""T3963""","=""L14866""",
"=""454.46119""","=""0.00005""","=""454.46119""","=""0.00003""","=""440""","=""8.45e+07""","=""5.24e-02""","=""-0.582""",B,"=""2.54383615""","=""5.27122963""","=""3d5.(4G).4s""","=""a 5G""","=""2""","=""3d5.(4G).4p""","=""z 5G*""","=""2""",,"=""T4913""","=""L14866""",
"=""454.53310""","=""0.00005""","=""454.53311""","=""0.00003""","=""90""","=""1.7e+07""","=""7.5e-03""","=""-1.28""",B,"=""2.54426770""","=""5.27122963""","=""3d5.(4G).4s""","=""a 5G""","=""3""","=""3d5.(4G).4p""","=""z 5G*""","=""2""",,"=""T4913""","=""L14866""",
"=""454.59527""","=""0.00005""","=""454.595302""","=""0.000019""","=""930""","=""1.4e+07""","=""8.4e-03""","=""-1.38""",B,"=""0.94143042""","=""3.66801930""","=""3d5.(6S).4s""","=""a 5S""","=""2""","=""3d4.(5D).4s.4p.(3P*)""","=""y 5P*""","=""2""",,"=""T4624,T4913""","=""L14866""",
"=""454.8652""","=""0.002""","=""454.86508""","=""0.00006""","=""3""","=""3.6e+07""","=""8.7e-03""","=""-0.95""",E,"=""4.1860366""","=""6.9110084""","=""3d5.(2I).4s""","=""b 1I""","=""6""","=""3d5.(2I).4p""","=""x 3I*""","=""6""",,"=""T4913""","=""L808""",
