obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),fik,log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""480.432883""","=""0.000016""","=""""","=""1.0e+05""","=""9.0e-05""","=""-3.44""",C,"=""1.6171130092""","=""4.19706867""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.10d""","=""2D""","=""3/2""",,"=""T817n,T204n,LS""","=""""",
"=""480.4348""","=""480.433950""","=""0.000016""","=""8""","=""9.6e+05""","=""8.3e-04""","=""-2.48""",C,"=""1.6171130092""","=""4.19706295""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.10d""","=""2D""","=""5/2""",,"=""T817n,T204n,LS""","=""L6096""",
"=""484.9865""","=""484.986450""","=""0.000017""","=""7""","=""3.742e+05""","=""6.600e-04""","=""-2.879""",A+,"=""1.60995784350""","=""4.16569049""","=""3p6.4p""","=""2P*""","=""1/2""","=""3p6.11s""","=""2S""","=""1/2""",,"=""T9168""","=""L6096""",
"=""485.6090""","=""485.609209""","=""0.000017""","=""8""","=""8.40e+05""","=""1.486e-03""","=""-2.527""",A,"=""1.60995784350""","=""4.16241300""","=""3p6.4p""","=""2P*""","=""1/2""","=""3p6.9d""","=""2D""","=""3/2""",,"=""T9168""","=""L6096""",
"=""486.3483""","=""486.348075""","=""0.000017""","=""8""","=""7.396e+05""","=""6.560e-04""","=""-2.581""",AA,"=""1.6171130092""","=""4.16569049""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.11s""","=""2S""","=""1/2""",,"=""T9168""","=""L6096""",
"=""""","=""486.974338""","=""0.000017""","=""""","=""1.75e+05""","=""1.56e-04""","=""-3.205""",B+,"=""1.6171130092""","=""4.16241300""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.9d""","=""2D""","=""3/2""",,"=""T9168""","=""""",
"=""486.9757""","=""486.975897""","=""0.000017""","=""9""","=""1.57e+06""","=""1.394e-03""","=""-2.254""",A,"=""1.6171130092""","=""4.16240485""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.9d""","=""2D""","=""5/2""",,"=""T9168""","=""L6096""",
"=""494.2002""","=""494.200871""","=""0.000017""","=""8bl""","=""5.38e+05""","=""9.86e-04""","=""-2.705""",AA,"=""1.60995784350""","=""4.11803927""","=""3p6.4p""","=""2P*""","=""1/2""","=""3p6.10s""","=""2S""","=""1/2""",,"=""T9168""","=""L1792""",
"=""495.0815""","=""495.081801""","=""0.000017""","=""9""","=""1.08e+06""","=""1.98e-03""","=""-2.403""",B+,"=""1.60995784350""","=""4.11357655""","=""3p6.4p""","=""2P*""","=""1/2""","=""3p6.8d""","=""2D""","=""3/2""",,"=""T9168""","=""L6096""",
"=""495.61461""","=""495.614802""","=""0.000017""","=""9""","=""1.064e+06""","=""9.805e-04""","=""-2.406""",AA,"=""1.6171130092""","=""4.11803927""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.10s""","=""2S""","=""1/2""",,"=""T9168""","=""L1792""",
"=""""","=""496.500784""","=""0.000017""","=""""","=""2.22e+05""","=""2.06e-04""","=""-3.085""",B+,"=""1.6171130092""","=""4.11357655""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.8d""","=""2D""","=""3/2""",,"=""T9168""","=""""",
