Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""1s.2s.3d""","=""4D""","=""1/2""","=""""","=""62.773""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2s.3d""","=""4D""","=""3/2""","=""""","=""62.773""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2s.3d""","=""4D""","=""5/2""","=""""","=""62.773""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2s.3d""","=""4D""","=""7/2""","=""""","=""62.773""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2s.4s""","=""4S""","=""3/2""","=""""","=""63.180""","=""""","=""0.012""","=""0.41""","="""""
"=""1s.2s.5s""","=""4S""","=""3/2""","=""""","=""63.729""","=""""","=""0.012""","=""0.55""","="""""
"=""1s.2s.4p""","=""4P*""","=""1/2""","=""""","=""63.929""","=""""","=""0.012""","=""0.20""","="""""
"=""1s.2s.4p""","=""4P*""","=""3/2""","=""""","=""63.929""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2s.4p""","=""4P*""","=""5/2""","=""""","=""63.929""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2s.6s""","=""4S""","=""3/2""","=""""","=""63.989""","=""""","=""0.012""","=""0.06""","="""""
"=""1s.2p.4s""","=""4P*""","=""1/2""","=""""","=""64.232""","=""""","=""0.012""","=""0.24""","="""""
"=""1s.2p.4s""","=""4P*""","=""3/2""","=""""","=""64.232""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2p.4s""","=""4P*""","=""5/2""","=""""","=""64.232""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2s.7s""","=""4S""","=""3/2""","=""""","=""64.329""","=""""","=""0.012""","=""0.10""","="""""
"=""1s.2p.3p""","=""4P""","=""1/2""","=""""","=""64.872""","=""""","=""0.012""","=""0.54""","="""""
"=""1s.2p.3p""","=""4P""","=""3/2""","=""""","=""64.872""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2p.3p""","=""4P""","=""5/2""","=""""","=""64.872""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2p.3d""","=""4D*""","=""1/2""","=""""","=""65.126""","=""""","=""0.012""","=""0.25""","="""""
"=""1s.2p.3d""","=""4D*""","=""3/2""","=""""","=""65.126""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2p.3d""","=""4D*""","=""5/2""","=""""","=""65.126""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2p.3d""","=""4D*""","=""7/2""","=""""","=""65.126""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2p.(1P*).3s""","=""2P*""","=""1/2""","=""""","=""65.267""","=""""","=""0.012""","=""0.14""","="""""
"=""1s.2p.(1P*).3s""","=""2P*""","=""3/2""","=""""","=""65.267""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2p.4p""","=""4P""","=""1/2""","=""""","=""65.780""","=""""","=""0.012""","=""0.51""","="""""
"=""1s.2p.4p""","=""4P""","=""3/2""","=""""","=""65.780""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2p.4p""","=""4P""","=""5/2""","=""""","=""65.780""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2p.5p""","=""4P""","=""1/2""","=""""","=""66.169""","=""""","=""0.012""","=""0.39""","="""""
"=""1s.2p.5p""","=""4P""","=""3/2""","=""""","=""66.169""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2p.5p""","=""4P""","=""5/2""","=""""","=""66.169""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2p.6p""","=""4P""","=""1/2""","=""""","=""66.379""","=""""","=""0.012""","=""0.21""","="""""
"=""1s.2p.6p""","=""4P""","=""3/2""","=""""","=""66.379""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2p.6p""","=""4P""","=""5/2""","=""""","=""66.379""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2p.(1P*).4s""","=""2P*""","=""1/2""","=""""","=""66.454""","=""""","=""0.012""","=""0.07""","="""""
"=""1s.2p.(1P*).4s""","=""2P*""","=""3/2""","=""""","=""66.454""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2p.(1P*).5s""","=""2P*""","=""1/2""","=""""","=""66.93""","=""""","=""0.12""","=""0.5""","="""""
"=""1s.2p.(1P*).5s""","=""2P*""","=""3/2""","=""""","=""66.93""","=""""","=""0.12""","=""0.0""","="""""
"=""1s.2p.(1P*).6s""","=""2P*""","=""1/2""","=""""","=""67.165""","=""""","=""0.012""","=""0.2""","="""""
"=""1s.2p.(1P*).6s""","=""2P*""","=""3/2""","=""""","=""67.165""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2p.(1P*).7s""","=""2P*""","=""1/2""","=""""","=""67.292""","=""""","=""0.012""","=""0.13""","="""""
"=""1s.2p.(1P*).7s""","=""2P*""","=""3/2""","=""""","=""67.292""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2p.(1P*).8s""","=""2P*""","=""1/2""","=""""","=""67.378""","=""""","=""0.012""","=""0.09""","="""""
"=""1s.2p.(1P*).8s""","=""2P*""","=""3/2""","=""""","=""67.378""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2p.(1P*).9s""","=""2P*""","=""1/2""","=""""","=""67.433""","=""""","=""0.012""","=""0.06""","="""""
"=""1s.2p.(1P*).9s""","=""2P*""","=""3/2""","=""""","=""67.433""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2p.(1P*).10s""","=""2P*""","=""1/2""","=""""","=""67.476""","=""""","=""0.012""","=""0.04""","="""""
"=""1s.2p.(1P*).10s""","=""2P*""","=""3/2""","=""""","=""67.476""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2p.(1P*).11s""","=""2P*""","=""1/2""","=""""","=""67.499""","=""""","=""0.012""","=""0.02""","="""""
"=""1s.2p.(1P*).11s""","=""2P*""","=""3/2""","=""""","=""67.499""","=""""","=""0.012""","=""0.00""","="""""
