 	 	 	 	 	 	 
3p628s 	 2S 	 1/2 	  4.32025424                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p627d 	 2D 	 5/2 	  4.32161269                    	  0.00000009     	  	 L5451 
 	 	 3/2 	  4.32161293                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p629s 	 2S 	 1/2 	  4.32174783                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p628d 	 2D 	 5/2 	  4.32296206                    	  0.00000009     	  	 L5451 
 	 	 3/2 	  4.32296229                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p630s 	 2S 	 1/2 	  4.32308326                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p629d 	 2D 	 5/2 	  [4.32417296]                   	  0.00000009     	  	 L5451 
 	 	 3/2 	  [4.32417317]                   	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p631s 	 2S 	 1/2 	  [4.32428208]                   	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p630d 	 2D 	 5/2 	  4.32526375                    	  0.00000009     	  	 L5451 
 	 	 3/2 	  4.32526392                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p632s 	 2S 	 1/2 	  4.32536233                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p631d 	 2D 	 5/2 	  [4.32624979]                   	  0.00000009     	  	 L5451 
 	 	 3/2 	  [4.32624996]                   	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p633s 	 2S 	 1/2 	  [4.32633915]                   	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p632d 	 2D 	 5/2 	  4.32714408                    	  0.00000009     	  	 L5451 
 	 	 3/2 	  4.32714423                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p634s 	 2S 	 1/2 	  4.32722538                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p633d 	 2D 	 5/2 	  [4.32795765]                   	  0.00000009     	  	 L5451 
 	 	 3/2 	  [4.32795779]                   	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p635s 	 2S 	 1/2 	  [4.32803173]                   	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p634d 	 2D 	 5/2 	  4.32869992                    	  0.00000009     	  	 L5451 
 	 	 3/2 	  4.32870004                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p636s 	 2S 	 1/2 	  4.32876765                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p635d 	 2D 	 5/2 	  [4.32937903]                   	  0.00000009     	  	 L5451 
 	 	 3/2 	  [4.32937913]                   	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p637s 	 2S 	 1/2 	  [4.32944112]                   	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p636d 	 2D 	 5/2 	  4.33000187                    	  0.00000009     	  	 L5451 
 	 	 3/2 	  4.33000198                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p638s 	 2S 	 1/2 	  4.33005896                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p637d 	 2D 	 5/2 	  [4.33057459]                   	  0.00000009     	  	 L5451 
 	 	 3/2 	  [4.33057467]                   	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p639s 	 2S 	 1/2 	  [4.33062713]                   	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p638d 	 2D 	 5/2 	  4.33110233                    	  0.00000009     	  	 L5451 
 	 	 3/2 	  4.33110242                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p640s 	 2S 	 1/2 	  4.33115084                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p639d 	 2D 	 5/2 	  [4.33158973]                   	  0.00000009     	  	 L5451 
 	 	 3/2 	  [4.33158981]                   	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p641s 	 2S 	 1/2 	  [4.33163460]                   	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p640d 	 2D 	 5/2 	  4.33204079                    	  0.00000009     	  	 L5451 
 	 	 3/2 	  4.33204087                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p642s 	 2S 	 1/2 	  4.33208240                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p641d 	 2D 	 5/2 	  [4.33245902]                   	  0.00000009     	  	 L5451 
 	 	 3/2 	  [4.33245911]                   	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p643s 	 2S 	 1/2 	  [4.33249763]                   	  0.00000009     	  	 L5451 
