Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""2p5.3p.(3P<1>).6p.(I)""","=""""","=""1/2,3/2""","=""""","=""41.6908""","=""""","=""0.0014""","=""0.031""","=""      2p5.(2P*<1/2>).3p.(3P<1>).6p.(I)                                                        ""","="""""
"=""2p5.3p.(1P<1>).5p""","=""""","=""1/2,3/2""","=""""","=""41.7483""","=""""","=""0.0011""","=""0.057""","=""      2p5.(2P*<1/2>).3p.(1P<1>).5p                                                            ""","="""""
"=""2p5.3p.(3P<1>).5p.(II)""","=""""","=""1/2,3/2""","=""""","=""41.8145""","=""""","=""0.0014""","=""0.066""","=""      2p5.(2P*<1/2>).3p.(3P<1>).5p.(II)                                                       ""","="""""
"=""2p5.3p.(1D<2>).6p""","=""""","=""1/2,3/2""","=""""","=""41.8345""","=""""","=""0.0011""","=""0.020""","=""      2p5.(2P*<3/2>).3p.(1D<2>).6p                                                            ""","="""""
"=""2p5.3p.(1P<1>).6p""","=""""","=""1/2,3/2""","=""""","=""41.9251""","=""""","=""0.0011""","=""0.091""","=""      2p5.(2P*<1/2>).3p.(1P<1>).6p                                                            ""","="""""
"=""2p5.3p.(3P<1>).7p.(I)""","=""""","=""1/2,3/2""","=""""","=""41.9276""","=""""","=""0.0014""","=""0.002""","=""      2p5.(2P*<1/2>).3p.(3P<1>).7p.(I)                                                        ""","="""""
"=""2p5.3p.(1D<2>).7p""","=""""","=""1/2,3/2""","=""""","=""41.9440""","=""""","=""0.0011""","=""0.016""","=""      2p5.(2P*<3/2>).3p.(1D<2>).7p                                                            ""","="""""
"=""2p5.3p.(3P<1>).6p.(II)""","=""""","=""1/2,3/2""","=""""","=""42.0114""","=""""","=""0.0014""","=""0.067""","=""      2p5.(2P*<1/2>).3p.(3P<1>).6p.(II)                                                       ""","="""""
"=""2p5.3p.(1D<2>).8p""","=""""","=""1/2,3/2""","=""""","=""42.0129""","=""""","=""0.0014""","=""0.002""","=""      2p5.(2P*<3/2>).3p.(1D<2>).8p                                                            ""","="""""
"=""2p5.3p.(1P<1>).7p""","=""""","=""1/2,3/2""","=""""","=""42.0300""","=""""","=""0.0014""","=""0.017""","=""      2p5.(2P*<1/2>).3p.(1P<1>).7p                                                            ""","="""""
"=""2p5.3p.(1D<2>).9p""","=""""","=""1/2,3/2""","=""""","=""42.0614""","=""""","=""0.0015""","=""0.031""","=""      2p5.(2P*<3/2>).3p.(1D<2>).9p                                                            ""","="""""
"=""2p5.3p.(3P<1>).8p.(I)""","=""""","=""1/2,3/2""","=""""","=""42.0642""","=""""","=""0.0015""","=""0.003""","=""      2p5.(2P*<1/2>).3p.(3P<1>).8p.(I)                                                        ""","="""""
"=""2p5.3p.(1D<2>).10p""","=""""","=""1/2,3/2""","=""""","=""42.0941""","=""""","=""0.0015""","=""0.030""","=""      2p5.(2P*<3/2>).3p.(1D<2>).10p                                                           ""","="""""
"=""2p5.3p.(1P<1>).8p""","=""""","=""1/2,3/2""","=""""","=""42.1013""","=""""","=""0.0015""","=""0.007""","=""      2p5.(2P*<1/2>).3p.(1P<1>).8p                                                            ""","="""""
"=""2p5.3p.(3P<1>).7p.(II)""","=""""","=""1/2,3/2""","=""""","=""42.1085""","=""""","=""0.0015""","=""0.007""","=""      2p5.(2P*<1/2>).3p.(3P<1>).7p.(II)                                                       ""","="""""
"=""2p5.3p.(1P<1>).9p""","=""""","=""1/2,3/2""","=""""","=""42.1457""","=""""","=""0.0015""","=""0.037""","=""      2p5.(2P*<1/2>).3p.(1P<1>).9p                                                            ""","="""""
"=""2p5.3p.(3P<1>).9p.(I)""","=""""","=""1/2,3/2""","=""""","=""42.1457""","=""""","=""0.0015""","=""0.000""","=""      2p5.(2P*<1/2>).3p.(3P<1>).9p.(I)                                                        ""","="""""
"=""2p5.3p.(3P<1>).8p.(II)""","=""""","=""1/2,3/2""","=""""","=""42.1758""","=""""","=""0.0015""","=""0.030""","=""      2p5.(2P*<1/2>).3p.(3P<1>).8p.(II)                                                       ""","="""""
"=""2p5.3p.(1P<1>).10p""","=""""","=""1/2,3/2""","=""""","=""42.1787""","=""""","=""0.0015""","=""0.003""","=""      2p5.(2P*<1/2>).3p.(1P<1>).10p                                                           ""","="""""
"=""2p5.3p.(3P<1>).10p.(I)""","=""""","=""1/2,3/2""","=""""","=""42.2016""","=""""","=""0.0015""","=""0.023""","=""      2p5.(2P*<1/2>).3p.(3P<1>).10p.(I)                                                       ""","="""""
"=""2p5.3p.(1P<1>).11p""","=""""","=""1/2,3/2""","=""""","=""42.2045""","=""""","=""0.0015""","=""0.003""","=""      2p5.(2P*<1/2>).3p.(1P<1>).11p                                                           ""","="""""
"=""2p5.3p.(1P<1>).12p""","=""""","=""1/2,3/2""","=""""","=""42.2232""","=""""","=""0.0015""","=""0.019""","=""      2p5.(2P*<1/2>).3p.(1P<1>).12p                                                           ""","="""""
"=""2p5.3p.(3P<1>).9p.(II)""","=""""","=""1/2,3/2""","=""""","=""42.2232""","=""""","=""0.0015""","=""0.000""","=""      2p5.(2P*<1/2>).3p.(3P<1>).9p.(II)                                                       ""","="""""
"=""2p5.3p.(1P<1>).13p""","=""""","=""1/2,3/2""","=""""","=""42.2376""","=""""","=""0.0015""","=""0.014""","=""      2p5.(2P*<1/2>).3p.(1P<1>).13p                                                           ""","="""""
"=""2p5.3p.(3P<1>).11p.(I)""","=""""","=""1/2,3/2""","=""""","=""42.2419""","=""""","=""0.0015""","=""0.004""","=""      2p5.(2P*<1/2>).3p.(3P<1>).11p.(I)                                                       ""","="""""
"=""2p5.3p.(1P<1>).14p""","=""""","=""1/2,3/2""","=""""","=""42.2491""","=""""","=""0.0015""","=""0.007""","=""      2p5.(2P*<1/2>).3p.(1P<1>).14p                                                           ""","="""""
"=""2p5.3p.(3P<1>).10p.(II)""","=""""","=""1/2,3/2""","=""""","=""42.2563""","=""""","=""0.0015""","=""0.007""","=""      2p5.(2P*<1/2>).3p.(3P<1>).10p.(II)                                                      ""","="""""
"=""2p5.3p.(3P<1>).12p.(I)""","=""""","=""1/2,3/2""","=""""","=""42.2722""","=""""","=""0.0015""","=""0.016""","=""      2p5.(2P*<1/2>).3p.(3P<1>).12p.(I)                                                       ""","="""""
"=""2p5.3p.(3P<1>).11p.(II)""","=""""","=""1/2,3/2""","=""""","=""42.2808""","=""""","=""0.0015""","=""0.009""","=""      2p5.(2P*<1/2>).3p.(3P<1>).11p.(II)                                                      ""","="""""
"=""2p5.3p.(3P<1>).13p.(I)""","=""""","=""1/2,3/2""","=""""","=""42.2924""","=""""","=""0.0015""","=""0.012""","=""      2p5.(2P*<1/2>).3p.(3P<1>).13p.(I)                                                       ""","="""""
"=""2p5.3p.(3P<1>).12p.(II)""","=""""","=""1/2,3/2""","=""""","=""42.303""","=""""","=""0.015""","=""0.01""","=""      2p5.(2P*<1/2>).3p.(3P<1>).12p.(II)                                                      ""","="""""
"=""2p5.3p.(3P<1>).13p.(II)""","=""""","=""1/2,3/2""","=""""","=""42.326""","=""""","=""0.015""","=""0.02""","=""      2p5.(2P*<1/2>).3p.(3P<1>).13p.(II)                                                      ""","="""""
"=""2p5.3p.(3P<1>).14p.(II)""","=""""","=""1/2,3/2""","=""""","=""42.329""","=""""","=""0.015""","=""0.00""","=""      2p5.(2P*<1/2>).3p.(3P<1>).14p.(II)                                                      ""","="""""
"=""2p5.3p.(3P<1>).15p.(II)""","=""""","=""1/2,3/2""","=""""","=""42.344""","=""""","=""0.015""","=""0.02""","=""      2p5.(2P*<1/2>).3p.(3P<1>).15p.(II)                                                      ""","="""""
"=""2p5.3p.(1S<0>).4p""","=""2[1]*""","=""1/2,3/2""","=""""","=""42.4787""","=""""","=""0.0011""","=""0.13""","=""      2p5.(2P*<1/2>).3p.(1S<0>).4p                                                            ""","="""""
"=""2p5.3p.(1S<0>).5p""","=""2[1]*""","=""1/2,3/2""","=""""","=""42.8339""","=""""","=""0.0012""","=""0.355""","=""      2p5.(2P*<1/2>).3p.(1S<0>).5p                                                            ""","="""""
"=""2p5.3p.(1S<0>).6p""","=""2[1]*""","=""1/2,3/2""","=""""","=""43.0257""","=""""","=""0.0012""","=""0.192""","=""      2p5.(2P*<1/2>).3p.(1S<0>).6p                                                            ""","="""""
"=""2p5.3p.(1S<0>).7p""","=""2[1]*""","=""1/2,3/2""","=""""","=""43.1370""","=""""","=""0.0012""","=""0.111""","=""      2p5.(2P*<1/2>).3p.(1S<0>).7p                                                            ""","="""""
"=""2p5.3p.(1S<0>).8p""","=""2[1]*""","=""1/2,3/2""","=""""","=""43.2085""","=""""","=""0.0012""","=""0.072""","=""      2p5.(2P*<1/2>).3p.(1S<0>).8p                                                            ""","="""""
"=""2p5.3p.(1S<0>).9p""","=""2[1]*""","=""1/2,3/2""","=""""","=""43.2572""","=""""","=""0.0012""","=""0.049""","=""      2p5.(2P*<1/2>).3p.(1S<0>).9p                                                            ""","="""""
"=""2p5.3p.(1S<0>).10p""","=""2[1]*""","=""1/2,3/2""","=""""","=""43.2911""","=""""","=""0.0012""","=""0.034""","=""      2p5.(2P*<1/2>).3p.(1S<0>).10p                                                           ""","="""""
"=""2p5.3p.(1S<0>).11p""","=""2[1]*""","=""1/2,3/2""","=""""","=""43.3178""","=""""","=""0.0015""","=""0.027""","=""      2p5.(2P*<1/2>).3p.(1S<0>).11p                                                           ""","="""""
"=""2p5.3p.(1S<0>).12p""","=""2[1]*""","=""1/2,3/2""","=""""","=""43.3345""","=""""","=""0.0015""","=""0.017""","=""      2p5.(2P*<1/2>).3p.(1S<0>).12p                                                           ""","="""""
"=""2p5.3p.(1S<0>).13p""","=""2[1]*""","=""1/2,3/2""","=""""","=""43.3496""","=""""","=""0.0015""","=""0.015""","=""      2p5.(2P*<1/2>).3p.(1S<0>).13p                                                           ""","="""""
"=""2p5.3p.(1S<0>).14p""","=""2[1]*""","=""1/2,3/2""","=""""","=""43.3617""","=""""","=""0.0015""","=""0.012""","=""      2p5.(2P*<1/2>).3p.(1S<0>).14p                                                           ""","="""""
"=""2p5.3p.(1S<0>).15p""","=""2[1]*""","=""1/2,3/2""","=""""","=""43.3724""","=""""","=""0.0015""","=""0.011""","=""      2p5.(2P*<1/2>).3p.(1S<0>).15p                                                           ""","="""""
"=""2p5.3p.(1S<0>).16p""","=""2[1]*""","=""1/2,3/2""","=""""","=""43.3785""","=""""","=""0.0015""","=""0.006""","=""      2p5.(2P*<1/2>).3p.(1S<0>).16p                                                           ""","="""""
"=""2p5.3p.(1S<0>).17p""","=""2[1]*""","=""1/2,3/2""","=""""","=""43.3860""","=""""","=""0.0015""","=""0.008""","=""      2p5.(2P*<1/2>).3p.(1S<0>).17p                                                           ""","="""""
"=""2p5.3p.(1S<0>).18p""","=""2[1]*""","=""1/2,3/2""","=""""","=""43.3921""","=""""","=""0.0015""","=""0.006""","=""      2p5.(2P*<1/2>).3p.(1S<0>).18p                                                           ""","="""""
"=""2p5.3p.(1S<0>).19p""","=""2[1]*""","=""1/2,3/2""","=""""","=""43.3951""","=""""","=""0.0015""","=""0.003""","=""      2p5.(2P*<1/2>).3p.(1S<0>).19p                                                           ""","="""""
"=""2p5.3d.(3P*<2>).4s""","=""2[2]*""","=""3/2""","=""""","=""43.3965""","=""""","=""0.0012""","=""0.001""","=""      2p5.(2P*<3/2>).3d.(3P*<2>).4s                                                           ""","="""""
"=""2p5.3d.(1P*<1>).4s""","=""2[1]*""","=""1/2,3/2""","=""""","=""43.4499""","=""""","=""0.0015""","=""0.053""","=""      2p5.(2P*<3/2>).3d.(1P*<1>).4s                                                           ""","="""""
"=""2p5.4s.(3P*<1>).5s""","=""2[1]*""","=""1/2,3/2""","=""""","=""43.6118""","=""""","=""0.0015""","=""0.162""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).5s                                                           ""","="""""
"=""2p5.3d.(3D*<1>).4s""","=""2[1]*""","=""1/2,3/2""","=""""","=""44.0911""","=""""","=""0.0016""","=""0.479""","=""      2p5.(2P*<1/2>).3d.(3D*<1>).4s                                                           ""","="""""
"=""2p5.3d.(1P*<1>).3d""","=""""","=""1/2,3/2""","=""""","=""44.7367""","=""""","=""0.0012""","=""0.646""","=""      2p5.(2P*<3/2>).3d.(1P*<1>).3d                                                           ""","="""""
"=""2p5.4s.(3P*<1>).3d""","=""""","=""1/2,3/2""","=""""","=""44.7739""","=""""","=""0.0012""","=""0.037""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).3d                                                           ""","="""""
"=""2p5.4s.(1P*<1>).3d""","=""""","=""1/2,3/2""","=""""","=""44.8101""","=""""","=""0.0012""","=""0.036""","=""      2p5.(2P*<1/2>).4s.(1P*<1>).3d                                                           ""","="""""
"=""2p5.3d.(3P*<2>).5s""","=""2[2]*""","=""3/2""","=""""","=""44.8885""","=""""","=""0.0012""","=""0.078""","=""      2p5.(2P*<3/2>).3d.(3P*<2>).5s                                                           ""","="""""
"=""2p5.3d.(1P*<1>).5s""","=""2[1]*""","=""1/2,3/2""","=""""","=""44.9072""","=""""","=""0.0016""","=""0.019""","=""      2p5.(2P*<3/2>).3d.(1P*<1>).5s                                                           ""","="""""
"=""2p5.4s.(3P*<1>).6s""","=""2[1]*""","=""1/2,3/2""","=""""","=""44.9887""","=""""","=""0.0016""","=""0.081""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).6s                                                           ""","="""""
"=""2p5.3d.(3F*<2>).4d""","=""""","=""1/2,3/2""","=""""","=""45.2252""","=""""","=""0.0014""","=""0.236""","=""      2p5.(2P*<3/2>).3d.(3F*<2>).4d                                                           ""","="""""
"=""2p5.3d.(3D*<1>).5s""","=""2[1]*""","=""1/2,3/2""","=""""","=""45.2530""","=""""","=""0.0016""","=""0.028""","=""      2p5.(2P*<1/2>).3d.(3D*<1>).5s                                                           ""","="""""
"=""2p5.3d.(3P*<2>).6s""","=""2[2]*""","=""3/2""","=""""","=""45.4036""","=""""","=""0.0016""","=""0.151""","=""      2p5.(2P*<3/2>).3d.(3P*<2>).6s                                                           ""","="""""
"=""2p5.3d.(1P*<1>).4d""","=""""","=""1/2,3/2""","=""""","=""45.4038""","=""""","=""0.0016""","=""0.000""","=""      2p5.(2P*<3/2>).3d.(1P*<1>).4d                                                           ""","="""""
"=""2p5.4s.(3P*<1>).4d""","=""""","=""1/2,3/2""","=""""","=""45.4309""","=""""","=""0.0014""","=""0.027""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).4d                                                           ""","="""""
"=""2p5.3d.(1P*<1>).6s""","=""2[1]*""","=""1/2,3/2""","=""""","=""45.4938""","=""""","=""0.0016""","=""0.063""","=""      2p5.(2P*<3/2>).3d.(1P*<1>).6s                                                           ""","="""""
"=""2p5.4s.(3P*<1>).7s""","=""2[1]*""","=""1/2,3/2""","=""""","=""45.5289""","=""""","=""0.0016""","=""0.035""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).7s                                                           ""","="""""
"=""2p5.4s.(1P*<1>).4d""","=""""","=""1/2,3/2""","=""""","=""45.5523""","=""""","=""0.0014""","=""0.023""","=""      2p5.(2P*<1/2>).4s.(1P*<1>).4d                                                           ""","="""""
"=""2p5.3d.(3F*<2>).5d""","=""""","=""1/2,3/2""","=""""","=""45.6205""","=""""","=""0.0014""","=""0.068""","=""      2p5.(2P*<3/2>).3d.(3F*<2>).5d                                                           ""","="""""
"=""2p5.3d.(3P*<2>).7s""","=""2[2]*""","=""3/2""","=""""","=""45.6618""","=""""","=""0.0014""","=""0.041""","=""      2p5.(2P*<3/2>).3d.(3P*<2>).7s                                                           ""","="""""
"=""2p5.4s.(3P*<1>).5d""","=""""","=""1/2,3/2""","=""""","=""45.7186""","=""""","=""0.0019""","=""0.057""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).5d                                                           ""","="""""
"=""2p5.3d.(1P*<1>).5d""","=""""","=""1/2,3/2""","=""""","=""45.7186""","=""""","=""0.0019""","=""0.000""","=""      2p5.(2P*<3/2>).3d.(1P*<1>).5d                                                           ""","="""""
"=""2p5.3d.(3D*<1>).6s""","=""2[1]*""","=""1/2,3/2""","=""""","=""45.7438""","=""""","=""0.0019""","=""0.025""","=""      2p5.(2P*<1/2>).3d.(3D*<1>).6s                                                           ""","="""""
"=""2p5.3d.(1P*<1>).7s""","=""2[1]*""","=""1/2,3/2""","=""""","=""45.7540""","=""""","=""0.0019""","=""0.010""","=""      2p5.(2P*<3/2>).3d.(1P*<1>).7s                                                           ""","="""""
"=""2p5.4s.(3P*<1>).8s""","=""2[1]*""","=""1/2,3/2""","=""""","=""45.7912""","=""""","=""0.0019""","=""0.037""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).8s                                                           ""","="""""
"=""2p5.3d.(3P*<2>).8s""","=""2[2]*""","=""3/2""","=""""","=""45.8065""","=""""","=""0.0019""","=""0.015""","=""      2p5.(2P*<3/2>).3d.(3P*<2>).8s                                                           ""","="""""
"=""2p5.3d.(3F*<2>).6d""","=""""","=""1/2,3/2""","=""""","=""45.8301""","=""""","=""0.0019""","=""0.024""","=""      2p5.(2P*<3/2>).3d.(3F*<2>).6d                                                           ""","="""""
"=""2p5.4s.(1P*<1>).5d""","=""""","=""1/2,3/2""","=""""","=""45.8732""","=""""","=""0.0019""","=""0.043""","=""      2p5.(2P*<1/2>).4s.(1P*<1>).5d                                                           ""","="""""
"=""2p5.3d.(1P*<1>).6d""","=""""","=""1/2,3/2""","=""""","=""45.8861""","=""""","=""0.0019""","=""0.013""","=""      2p5.(2P*<3/2>).3d.(1P*<1>).6d                                                           ""","="""""
"=""2p5.3d.(3P*<2>).9s""","=""2[2]*""","=""3/2""","=""""","=""45.8911""","=""""","=""0.0019""","=""0.005""","=""      2p5.(2P*<3/2>).3d.(3P*<2>).9s                                                           ""","="""""
"=""2p5.4s.(3P*<1>).6d""","=""""","=""1/2,3/2""","=""""","=""45.8997""","=""""","=""0.0019""","=""0.009""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).6d                                                           ""","="""""
"=""2p5.3d.(1P*<1>).8s""","=""2[1]*""","=""1/2,3/2""","=""""","=""45.9099""","=""""","=""0.0019""","=""0.010""","=""      2p5.(2P*<3/2>).3d.(1P*<1>).8s                                                           ""","="""""
"=""2p5.4s.(3P*<1>).9s""","=""2[1]*""","=""1/2,3/2""","=""""","=""45.9405""","=""""","=""0.0019""","=""0.031""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).9s                                                           ""","="""""
"=""2p5.3d.(3F*<2>).7d""","=""""","=""1/2,3/2""","=""""","=""45.9524""","=""""","=""0.0019""","=""0.012""","=""      2p5.(2P*<3/2>).3d.(3F*<2>).7d                                                           ""","="""""
"=""2p5.3d.(3P*<2>).10s""","=""2[2]*""","=""3/2""","=""""","=""45.9541""","=""""","=""0.0019""","=""0.002""","=""      2p5.(2P*<3/2>).3d.(3P*<2>).10s                                                          ""","="""""
"=""2p5.3d.(3D*<1>).7s""","=""2[1]*""","=""1/2,3/2""","=""""","=""45.9763""","=""""","=""0.0019""","=""0.022""","=""      2p5.(2P*<1/2>).3d.(3D*<1>).7s                                                           ""","="""""
"=""2p5.3d.(1P*<1>).7d""","=""""","=""1/2,3/2""","=""""","=""45.9865""","=""""","=""0.0019""","=""0.010""","=""      2p5.(2P*<3/2>).3d.(1P*<1>).7d                                                           ""","="""""
"=""2p5.3d.(1P*<1>).9s""","=""2[1]*""","=""1/2,3/2""","=""""","=""46.0001""","=""""","=""0.0019""","=""0.014""","=""      2p5.(2P*<3/2>).3d.(1P*<1>).9s                                                           ""","="""""
"=""2p5.4s.(3P*<1>).7d""","=""""","=""1/2,3/2""","=""""","=""46.0001""","=""""","=""0.0019""","=""0.000""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).7d                                                           ""","="""""
"=""2p5.3d.(3F*<2>).8d""","=""""","=""1/2,3/2""","=""""","=""46.0275""","=""""","=""0.0019""","=""0.027""","=""      2p5.(2P*<3/2>).3d.(3F*<2>).8d                                                           ""","="""""
"=""2p5.4s.(3P*<1>).10s""","=""2[1]*""","=""1/2,3/2""","=""""","=""46.0275""","=""""","=""0.0019""","=""0.000""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).10s                                                          ""","="""""
"=""2p5.4s.(1P*<1>).6d""","=""""","=""1/2,3/2""","=""""","=""46.0531""","=""""","=""0.0019""","=""0.026""","=""      2p5.(2P*<1/2>).4s.(1P*<1>).6d                                                           ""","="""""
"=""2p5.3d.(1P*<1>).8d""","=""""","=""1/2,3/2""","=""""","=""46.0565""","=""""","=""0.0019""","=""0.003""","=""      2p5.(2P*<3/2>).3d.(1P*<1>).8d                                                           ""","="""""
"=""2p5.3d.(1P*<1>).10s""","=""2[1]*""","=""1/2,3/2""","=""""","=""46.0668""","=""""","=""0.0019""","=""0.010""","=""      2p5.(2P*<3/2>).3d.(1P*<1>).10s                                                          ""","="""""
"=""2p5.4s.(3P*<1>).8d""","=""""","=""1/2,3/2""","=""""","=""46.0686""","=""""","=""0.0019""","=""0.002""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).8d                                                           ""","="""""
"=""2p5.3d.(3F*<2>).9d""","=""""","=""1/2,3/2""","=""""","=""46.0805""","=""""","=""0.0019""","=""0.012""","=""      2p5.(2P*<3/2>).3d.(3F*<2>).9d                                                           ""","="""""
"=""2p5.3d.(1P*<1>).9d""","=""""","=""1/2,3/2""","=""""","=""46.1010""","=""""","=""0.0019""","=""0.020""","=""      2p5.(2P*<3/2>).3d.(1P*<1>).9d                                                           ""","="""""
"=""2p5.3d.(3F*<2>).10d""","=""""","=""1/2,3/2""","=""""","=""46.1148""","=""""","=""0.0019""","=""0.014""","=""      2p5.(2P*<3/2>).3d.(3F*<2>).10d                                                          ""","="""""
"=""2p5.4s.(3P*<1>).9d""","=""""","=""1/2,3/2""","=""""","=""46.1148""","=""""","=""0.0019""","=""0.000""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).9d                                                           ""","="""""
"=""2p5.3d.(3D*<1>).8s""","=""2[1]*""","=""1/2,3/2""","=""""","=""46.1148""","=""""","=""0.0019""","=""0.000""","=""      2p5.(2P*<1/2>).3d.(3D*<1>).8s                                                           ""","="""""
"=""2p5.3d.(3F*<2>).11d""","=""""","=""1/2,3/2""","=""""","=""46.1405""","=""""","=""0.0019""","=""0.026""","=""      2p5.(2P*<3/2>).3d.(3F*<2>).11d                                                          ""","="""""
"=""2p5.4s.(3P*<1>).10d""","=""""","=""1/2,3/2""","=""""","=""46.1492""","=""""","=""0.0019""","=""0.009""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).10d                                                          ""","="""""
"=""2p5.4s.(1P*<1>).7d""","=""""","=""1/2,3/2""","=""""","=""46.1560""","=""""","=""0.0019""","=""0.007""","=""      2p5.(2P*<1/2>).4s.(1P*<1>).7d                                                           ""","="""""
"=""2p5.4s.(3P*<1>).11d""","=""""","=""1/2,3/2""","=""""","=""46.1715""","=""""","=""0.0019""","=""0.016""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).11d                                                          ""","="""""
"=""2p5.4s.(3P*<1>).12d""","=""""","=""1/2,3/2""","=""""","=""46.1903""","=""""","=""0.0019""","=""0.019""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).12d                                                          ""","="""""
"=""2p5.3d.(3D*<1>).9s""","=""2[1]*""","=""1/2,3/2""","=""""","=""46.1973""","=""""","=""0.0019""","=""0.007""","=""      2p5.(2P*<1/2>).3d.(3D*<1>).9s                                                           ""","="""""
"=""2p5.4s.(3P*<1>).13d""","=""""","=""1/2,3/2""","=""""","=""46.2042""","=""""","=""0.0019""","=""0.007""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).13d                                                          ""","="""""
"=""2p5.4s.(3P*<1>).14d""","=""""","=""1/2,3/2""","=""""","=""46.2162""","=""""","=""0.0019""","=""0.012""","=""      2p5.(2P*<3/2>).4s.(3P*<1>).14d                                                          ""","="""""
"=""2p5.4s.(1P*<1>).8d""","=""""","=""1/2,3/2""","=""""","=""46.2213""","=""""","=""0.0019""","=""0.005""","=""      2p5.(2P*<1/2>).4s.(1P*<1>).8d                                                           ""","="""""
"=""2p5.3d.(3D*<1>).10s""","=""2[1]*""","=""1/2,3/2""","=""""","=""46.2524""","=""""","=""0.0019""","=""0.031""","=""      2p5.(2P*<1/2>).3d.(3D*<1>).10s                                                          ""","="""""
"=""2p5.4s.(1P*<1>).9d""","=""""","=""1/2,3/2""","=""""","=""46.2679""","=""""","=""0.0019""","=""0.015""","=""      2p5.(2P*<1/2>).4s.(1P*<1>).9d                                                           ""","="""""
"=""2p5.3d.(3D*<1>).11s""","=""2[1]*""","=""1/2,3/2""","=""""","=""46.2921""","=""""","=""0.0019""","=""0.024""","=""      2p5.(2P*<1/2>).3d.(3D*<1>).11s                                                          ""","="""""
"=""2p5.4s.(1P*<1>).10d""","=""""","=""1/2,3/2""","=""""","=""46.3025""","=""""","=""0.0019""","=""0.010""","=""      2p5.(2P*<1/2>).4s.(1P*<1>).10d                                                          ""","="""""
"=""2p5.3d.(3D*<1>).12s""","=""2[1]*""","=""1/2,3/2""","=""""","=""46.3215""","=""""","=""0.0019""","=""0.019""","=""      2p5.(2P*<1/2>).3d.(3D*<1>).12s                                                          ""","="""""
"=""2p5.4s.(1P*<1>).11d""","=""""","=""1/2,3/2""","=""""","=""46.3250""","=""""","=""0.0019""","=""0.004""","=""      2p5.(2P*<1/2>).4s.(1P*<1>).11d                                                          ""","="""""
"=""2p5.3d.(3D*<1>).13s""","=""2[1]*""","=""1/2,3/2""","=""""","=""46.3423""","=""""","=""0.0019""","=""0.017""","=""      2p5.(2P*<1/2>).3d.(3D*<1>).13s                                                          ""","="""""
"=""2p5.3d.(3D*<1>).14s""","=""2[1]*""","=""1/2,3/2""","=""""","=""46.3597""","=""""","=""0.0019""","=""0.017""","=""      2p5.(2P*<1/2>).3d.(3D*<1>).14s                                                          ""","="""""
"=""2p5.3d.(3D*<1>).15s""","=""2[1]*""","=""1/2,3/2""","=""""","=""46.3701""","=""""","=""0.0019""","=""0.010""","=""      2p5.(2P*<1/2>).3d.(3D*<1>).15s                                                          ""","="""""
"=""2p5.3d.(3D*<1>).16s""","=""2[1]*""","=""1/2,3/2""","=""""","=""46.3788""","=""""","=""0.0019""","=""0.009""","=""      2p5.(2P*<1/2>).3d.(3D*<1>).16s                                                          ""","="""""
"=""2s.(2S).2p6.3s.3p.(3P*)""","=""2P*""","=""1/2,3/2""","=""""","=""66.372""","=""""","=""0.025""","=""19.99""","=""                                                                                              ""","="""""
"=""2s.(2S).2p6.3s.3p.(1P*)""","=""2P*""","=""1/2,3/2""","=""""","=""67.77""","=""""","=""0.04""","=""1.40""","=""                                                                                              ""","="""""
"=""2s.2p6.3s.(3S).4p""","=""2P*""","=""1/2,3/2""","=""""","=""69.38""","=""""","=""0.04""","=""1.61""","=""                                                                                              ""","="""""
"=""Na II (2s.2p6.3s 3S<1>)""","=""Limit""","=""---""","=""""","=""70.962""","=""""","=""0.025""","=""""","=""                                                                                              ""","="""""
"=""Na II (2s.2p6.3s 1S<0>)""","=""Limit""","=""---""","=""""","=""71.384""","=""""","=""0.025""","=""""","=""                                                                                              ""","="""""
"=""2s.2p6.3p.(3P*).4s""","=""2P*""","=""1/2,3/2""","=""""","=""72.68""","=""""","=""0.04""","=""1.30""","=""                                                                                              ""","="""""
"=""2s.2p6.3p.(1P*).4s""","=""2P*""","=""1/2,3/2""","=""""","=""73.32""","=""""","=""0.04""","=""0.64""","=""                                                                                              ""","="""""
"=""2s.2p6.3p.(3P*).3d""","=""2P*""","=""1/2,3/2""","=""""","=""73.72""","=""""","=""0.05""","=""0.40""","=""                                                                                              ""","="""""
