Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""2p6.10d""","=""2D""","=""5/2""","=""""","=""5.00262788""","=""""","=""0.00000025""","=""0.0096111""","=""                                                                                              ""","="""""
"=""2p6.10d""","=""2D""","=""3/2""","=""""","=""5.00262826""","=""""","=""0.00000025""","=""0.0000004""","=""                                                                                              ""","="""""
"=""2p6.10f""","=""2F*""","=""7/2""","=""[""","=""5.00298074""","=""]""","=""0.00000025""","=""0.0003525""","=""                                                                                              ""","="""""
"=""2p6.10f""","=""2F*""","=""5/2""","=""[""","=""5.00298074""","=""]""","=""0.00000025""","=""0.0000000""","=""                                                                                              ""","="""""
"=""2p6.10g""","=""2G""","=""7/2,9/2""","=""[""","=""5.00301223""","=""]""","=""0.00000025""","=""0.0000315""","=""                                                                                              ""","="""""
"=""2p6.10h""","=""2H*""","=""9/2,11/2""","=""[""","=""5.00301943""","=""]""","=""0.00000025""","=""0.0000072""","=""                                                                                              ""","="""""
"=""2p6.11p""","=""2P*""","=""1/2""","=""""","=""5.00684459""","=""""","=""0.00000025""","=""0.0038252""","=""                                                                                              ""","="""""
"=""2p6.11p""","=""2P*""","=""3/2""","=""""","=""5.00686591""","=""""","=""0.00000025""","=""0.0000213""","=""                                                                                              ""","="""""
"=""2p6.12s""","=""2S""","=""1/2""","=""""","=""5.01915758""","=""""","=""0.00000025""","=""0.0122917""","=""                                                                                              ""","="""""
"=""2p6.11d""","=""2D""","=""5/2""","=""[""","=""5.02633094""","=""]""","=""0.00000025""","=""0.0071734""","=""                                                                                              ""","="""""
"=""2p6.11d""","=""2D""","=""3/2""","=""[""","=""5.02633118""","=""]""","=""0.00000025""","=""0.0000002""","=""                                                                                              ""","="""""
"=""2p6.11f""","=""2F*""","=""5/2""","=""[""","=""5.02660370""","=""]""","=""0.00000025""","=""0.0002725""","=""                                                                                              ""","="""""
"=""2p6.11f""","=""2F*""","=""7/2""","=""[""","=""5.02660370""","=""]""","=""0.00000025""","=""0.0000000""","=""                                                                                              ""","="""""
"=""2p6.11g""","=""2G""","=""7/2,9/2""","=""[""","=""5.02662738""","=""]""","=""0.00000025""","=""0.0000237""","=""                                                                                              ""","="""""
"=""2p6.12p""","=""2P*""","=""1/2""","=""[""","=""5.02951609""","=""]""","=""0.00000025""","=""0.0028887""","=""                                                                                              ""","="""""
"=""2p6.12p""","=""2P*""","=""3/2""","=""[""","=""5.02953221""","=""]""","=""0.00000025""","=""0.0000161""","=""                                                                                              ""","="""""
"=""2p6.13s""","=""2S""","=""1/2""","=""[""","=""5.03886016""","=""]""","=""0.00000025""","=""0.0093279""","=""                                                                                              ""","="""""
"=""2p6.12d""","=""2D""","=""3/2""","=""[""","=""5.04436022""","=""]""","=""0.00000025""","=""0.0055001""","=""                                                                                              ""","="""""
"=""2p6.12d""","=""2D""","=""5/2""","=""[""","=""5.04436022""","=""]""","=""0.00000025""","=""0.0000000""","=""                                                                                              ""","="""""
"=""2p6.12f""","=""2F*""","=""5/2,7/2""","=""[""","=""5.04457025""","=""]""","=""0.00000025""","=""0.0002100""","=""                                                                                              ""","="""""
"=""2p6.12g""","=""2G""","=""7/2,9/2""","=""[""","=""5.04458872""","=""]""","=""0.00000025""","=""0.0000185""","=""                                                                                              ""","="""""
"=""2p6.13p""","=""2P*""","=""1/2""","=""[""","=""5.04681945""","=""]""","=""0.00000025""","=""0.0022307""","=""                                                                                              ""","="""""
"=""2p6.13p""","=""2P*""","=""3/2""","=""[""","=""5.04683185""","=""]""","=""0.00000025""","=""0.0000124""","=""                                                                                              ""","="""""
"=""2p6.14s""","=""2S""","=""1/2""","=""[""","=""5.05407748""","=""]""","=""0.00000025""","=""0.0072456""","=""                                                                                              ""","="""""
"=""2p6.13d""","=""2D""","=""5/2""","=""[""","=""5.05838693""","=""]""","=""0.00000025""","=""0.0043095""","=""                                                                                              ""","="""""
"=""2p6.13d""","=""2D""","=""3/2""","=""[""","=""5.05838717""","=""]""","=""0.00000025""","=""0.0000002""","=""                                                                                              ""","="""""
"=""2p6.13f""","=""2F*""","=""5/2,7/2""","=""[""","=""5.05855207""","=""]""","=""0.00000025""","=""0.0001649""","=""                                                                                              ""","="""""
