Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4p6.38d""","=""2D""","=""5/2""","=""""","=""4.16705""","=""""","=""0.00004""","=""0.00019""","=""L9039"""
"=""4p6.38d""","=""2D""","=""3/2""","=""""","=""4.16705""","=""""","=""0.00004""","=""0.00000""","=""L9039"""
"=""4p6.40s""","=""2S""","=""1/2""","=""""","=""4.16716""","=""""","=""0.00004""","=""0.00011""","=""L9039"""
"=""4p6.40p""","=""2P*""","=""3/2""","=""""","=""4.167399""","=""""","=""0.000007""","=""0.00024""","=""L9039"""
"=""4p6.40p""","=""2P*""","=""1/2""","=""""","=""4.167399""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.39d""","=""2D""","=""3/2""","=""""","=""4.16757""","=""""","=""0.00004""","=""0.00017""","=""L9039"""
"=""4p6.39d""","=""2D""","=""5/2""","=""""","=""4.16757""","=""""","=""0.00004""","=""0.00000""","=""L9039"""
"=""4p6.41s""","=""2S""","=""1/2""","=""""","=""4.16767""","=""""","=""0.00004""","=""0.00010""","=""L9039"""
"=""4p6.41p""","=""2P*""","=""1/2""","=""""","=""4.167900""","=""""","=""0.000007""","=""0.00023""","=""L9039"""
"=""4p6.41p""","=""2P*""","=""3/2""","=""""","=""4.167900""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.40d""","=""2D""","=""5/2""","=""""","=""4.16804""","=""""","=""0.00004""","=""0.00014""","=""L9039"""
"=""4p6.40d""","=""2D""","=""3/2""","=""""","=""4.16804""","=""""","=""0.00004""","=""0.00000""","=""L9039"""
"=""4p6.42s""","=""2S""","=""1/2""","=""""","=""4.16815""","=""""","=""0.00004""","=""0.00011""","=""L9039"""
"=""4p6.42p""","=""2P*""","=""1/2""","=""""","=""4.168367""","=""""","=""0.000007""","=""0.00022""","=""L9039"""
"=""4p6.42p""","=""2P*""","=""3/2""","=""""","=""4.168367""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.41d""","=""2D""","=""5/2""","=""""","=""4.16851""","=""""","=""0.00004""","=""0.00014""","=""L9039"""
"=""4p6.41d""","=""2D""","=""3/2""","=""""","=""4.16851""","=""""","=""0.00004""","=""0.00000""","=""L9039"""
"=""4p6.43s""","=""2S""","=""1/2""","=""""","=""4.16858""","=""""","=""0.00004""","=""0.00007""","=""L9039"""
"=""4p6.43p""","=""2P*""","=""1/2""","=""""","=""4.168796""","=""""","=""0.000007""","=""0.00022""","=""L9039"""
"=""4p6.43p""","=""2P*""","=""3/2""","=""""","=""4.168796""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.42d""","=""2D""","=""3/2""","=""""","=""4.16891""","=""""","=""0.00004""","=""0.00011""","=""L9039"""
"=""4p6.42d""","=""2D""","=""5/2""","=""""","=""4.16891""","=""""","=""0.00004""","=""0.00000""","=""L9039"""
"=""4p6.44s""","=""2S""","=""1/2""","=""""","=""4.16902""","=""""","=""0.00004""","=""0.00011""","=""L9039"""
"=""4p6.44p""","=""2P*""","=""1/2""","=""""","=""4.169196""","=""""","=""0.000007""","=""0.00018""","=""L9039"""
"=""4p6.44p""","=""2P*""","=""3/2""","=""""","=""4.169196""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.43d""","=""2D""","=""3/2""","=""""","=""4.16930""","=""""","=""0.00004""","=""0.00010""","=""L9039"""
"=""4p6.43d""","=""2D""","=""5/2""","=""""","=""4.16930""","=""""","=""0.00004""","=""0.00000""","=""L9039"""
"=""4p6.45s""","=""2S""","=""1/2""","=""""","=""4.16939""","=""""","=""0.00004""","=""0.00009""","=""L9039"""
"=""4p6.45p""","=""2P*""","=""1/2""","=""""","=""4.169564""","=""""","=""0.000007""","=""0.00017""","=""L9039"""
"=""4p6.45p""","=""2P*""","=""3/2""","=""""","=""4.169564""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.44d""","=""2D""","=""3/2""","=""""","=""4.16965""","=""""","=""0.00004""","=""0.00009""","=""L9039"""
"=""4p6.44d""","=""2D""","=""5/2""","=""""","=""4.16965""","=""""","=""0.00004""","=""0.00000""","=""L9039"""
"=""4p6.46s""","=""2S""","=""1/2""","=""""","=""4.16975""","=""""","=""0.00004""","=""0.00010""","=""L9039"""
"=""4p6.46p""","=""2P*""","=""1/2""","=""""","=""4.169837""","=""""","=""0.000007""","=""0.00009""","=""L9039"""
"=""4p6.46p""","=""2P*""","=""3/2""","=""""","=""4.169837""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.45d""","=""2D""","=""3/2""","=""""","=""4.17002""","=""""","=""0.00004""","=""0.00018""","=""L9039"""
"=""4p6.45d""","=""2D""","=""5/2""","=""""","=""4.17002""","=""""","=""0.00004""","=""0.00000""","=""L9039"""
"=""4p6.47s""","=""2S""","=""1/2""","=""""","=""4.17007""","=""""","=""0.00004""","=""0.00005""","=""L9039"""
"=""4p6.47p""","=""2P*""","=""1/2""","=""""","=""4.170235""","=""""","=""0.000007""","=""0.00016""","=""L9039"""
"=""4p6.47p""","=""2P*""","=""3/2""","=""""","=""4.170235""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.46d""","=""2D""","=""3/2""","=""""","=""4.17032""","=""""","=""0.00004""","=""0.00009""","=""L9039"""
"=""4p6.46d""","=""2D""","=""5/2""","=""""","=""4.17032""","=""""","=""0.00004""","=""0.00000""","=""L9039"""
"=""4p6.48s""","=""2S""","=""1/2""","=""""","=""4.17038""","=""""","=""0.00004""","=""0.00006""","=""L9039"""
"=""4p6.48p""","=""2P*""","=""1/2""","=""""","=""4.170535""","=""""","=""0.000007""","=""0.00016""","=""L9039"""
"=""4p6.48p""","=""2P*""","=""3/2""","=""""","=""4.170535""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.47d""","=""2D""","=""3/2""","=""""","=""4.17062""","=""""","=""0.00004""","=""0.00009""","=""L9039"""
"=""4p6.47d""","=""2D""","=""5/2""","=""""","=""4.17062""","=""""","=""0.00004""","=""0.00000""","=""L9039"""
"=""4p6.49s""","=""2S""","=""1/2""","=""""","=""4.17068""","=""""","=""0.00004""","=""0.00006""","=""L9039"""
"=""4p6.49p""","=""2P*""","=""1/2""","=""""","=""4.170815""","=""""","=""0.000007""","=""0.00014""","=""L9039"""
