Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Lande,Leading percentages,Reference
"=""3d4.4s.(6D).6p""","=""7P*""","=""2""","=""""","=""7.3451""","=""""","=""0.0005""","=""""","=""  64                                                 ""","=""L5413"""
"=""3d4.4s.(6D).6p""","=""7P*""","=""3""","=""""","=""7.3639""","=""""","=""0.0005""","=""""","=""  59                                                 ""","=""L5413"""
"=""3d4.4s.(6D).6p""","=""7P*""","=""4""","=""""","=""7.4019""","=""""","=""0.0005""","=""""","=""  46  7D*        :    39                        7P*  ""","=""L5413"""
"=""3d4.(3F1).4s.4p.(1P*)""","=""r 3F*""","=""2""","=""""","=""7.3594226""","=""""","=""0.0000012""","=""""","=""  51             :    11  3d5.(4F).4p           3F*  ""","=""L18327,L7185"""
"=""3d4.(3F1).4s.4p.(1P*)""","=""r 3F*""","=""3""","=""""","=""7.3667593""","=""""","=""0.0000006""","=""""","=""  46             :     9  3d5.(4F).4p           3F*  ""","=""L18327,L7185"""
"=""3d4.(3F1).4s.4p.(1P*)""","=""r 3F*""","=""4""","=""""","=""7.3755145""","=""""","=""0.0000005""","=""""","=""  50             :     9  3d5.(4F).4p           3F*  ""","=""L18327,L7185"""
"=""3d4.4s.(6D).6p""","=""7D*""","=""2""","=""""","=""7.3818""","=""""","=""0.0005""","=""""","=""  77                                                 ""","=""L5413"""
"=""3d4.4s.(6D).6p""","=""7D*""","=""3""","=""""","=""7.4046""","=""""","=""0.0005""","=""""","=""  61                                                 ""","=""L5413"""
"=""3d4.4s.(6D).6p""","=""7D*""","=""4""","=""""","=""7.4210""","=""""","=""0.0005""","=""""","=""  59                                                 ""","=""L5413"""
"=""3d4.(3H).4s.4p.(1P*)""","=""w 3I*""","=""5""","=""""","=""7.4150285""","=""""","=""0.0000009""","=""""","=""  64             :    16  3d5.(2H).4p           3I*  ""","=""L18327,L7185"""
"=""3d4.(3H).4s.4p.(1P*)""","=""w 3I*""","=""6""","=""""","=""7.4246850""","=""""","=""0.0000007""","=""""","=""  74             :    13  3d5.(2H).4p           3I*  ""","=""L18327,L7185"""
"=""3d4.(3H).4s.4p.(1P*)""","=""w 3I*""","=""7""","=""""","=""7.43377313""","=""""","=""0.00000025""","=""""","=""  77             :    13  3d5.(2H).4p           3I*  ""","=""L18327,L7185"""
"=""3d4.4s.(6D).6p""","=""5P*""","=""2""","=""""","=""7.4257""","=""""","=""0.0005""","=""""","=""  59                                                 ""","=""L5413"""
"=""3d4.4s.(6D).6p""","=""5P*""","=""3""","=""""","=""7.4461""","=""""","=""0.0005""","=""""","=""  67                                                 ""","=""L5413"""
"=""3d5.(2G1).4p""","=""x 1H*""","=""5""","=""""","=""7.4397327""","=""""","=""0.0000003""","=""""","=""  20  3G*        :    13  3d5.(2H).4p           1H*  ""","=""L18327,L7185"""
"=""3d4.(3P1).4s.4p.(1P*)""","=""x 3S*""","=""1""","=""""","=""7.449484""","=""""","=""0.000016""","=""""","=""  48             :    19  3d4.(3P1).4s.4p.(1P*) 3P*  ""","=""L18327,L7185"""
"=""""","=""q 5D*""","=""0""","=""""","=""7.468560""","=""""","=""0.000014""","=""""","=""                                                     ""","=""L18327c152"""
"=""""","=""q 5D*""","=""1""","=""""","=""7.474587""","=""""","=""0.000014""","=""""","=""                                                     ""","=""L18327c152"""
"=""""","=""q 5D*""","=""2""","=""""","=""7.485278""","=""""","=""0.000012""","=""""","=""                                                     ""","=""L18327c152"""
"=""""","=""q 5D*""","=""3""","=""""","=""7.4999448""","=""""","=""0.0000004""","=""""","=""                                                     ""","=""L18327c152"""
"=""""","=""q 5D*""","=""4""","=""""","=""7.5166199""","=""""","=""0.0000004""","=""""","=""                                                     ""","=""L18327"""
"=""""","=""q 3F*""","=""2""","=""""","=""7.4704151""","=""""","=""0.0000007""","=""""","=""                                                     ""","=""L18327"""
"=""""","=""q 3F*""","=""3""","=""""","=""7.479453""","=""""","=""0.000003""","=""""","=""                                                     ""","=""L18327"""
"=""""","=""q 3F*""","=""4""","=""""","=""7.4845826""","=""""","=""0.0000011""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(2H).4p""","=""v 3I*""","=""5""","=""""","=""7.4920666""","=""""","=""0.0000004""","=""""","=""  50             :    16  3d5.(2G1).4p          1H*  ""","=""L18327,L7185"""
"=""3d5.(2H).4p""","=""v 3I*""","=""6""","=""""","=""7.5044396""","=""""","=""0.0000004""","=""""","=""  74             :    11  3d5.(2G1).4p          3H*  ""","=""L18327,L7185"""
"=""3d5.(2H).4p""","=""v 3I*""","=""7""","=""""","=""7.5204897""","=""""","=""0.0000004""","=""""","=""  85             :     6  3d5.(2I).4p           3I*  ""","=""L18327,L7185"""
"=""3d5.(2H).4p""","=""x 1I*""","=""6""","=""""","=""7.4937674""","=""""","=""0.0000004""","=""""","=""  49             :    17  3d5.(2G1).4p          3H*  ""","=""L18327,L7185"""
"=""3d5.(2G1).4p""","=""s 3G*""","=""5""","=""""","=""7.4970663""","=""""","=""0.0000020""","=""""","=""  30             :    21  3d5.(2H).4p           3I*  ""","=""L18327,L7185"""
"=""3d5.(2G1).4p""","=""s 3G*""","=""4""","=""""","=""7.5015289""","=""""","=""0.0000011""","=""""","=""  40             :     9  3d5.(2H).4p           3G*  ""","=""L18327,L7185"""
"=""3d5.(2G1).4p""","=""s 3G*""","=""3""","=""""","=""7.5032849""","=""""","=""0.0000012""","=""""","=""  33             :    16  3d5.(2F1).4p          1F*  ""","=""L18327,L7185"""
"=""3d5.(4F).4p""","=""s 3D*""","=""3""","=""""","=""7.5153848""","=""""","=""0.0000016""","=""""","=""  24             :    17  3d5.(2D1).4p          3D*  ""","=""L18327,L7185"""
