Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Lande,Leading percentages,Reference
"=""3d5.(6S).4s""","=""a 7S""","=""3""","=""""","=""0.00000000""","=""""","=""0.00000014""","=""2.00183""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(6S).4s""","=""a 5S""","=""2""","=""""","=""0.94143042""","=""""","=""0.00000017""","=""2.006""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d4.4s2""","=""a 5D""","=""0""","=""""","=""0.96097009""","=""""","=""0.00000016""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s2""","=""a 5D""","=""1""","=""""","=""0.96841324""","=""""","=""0.00000014""","=""1.50060""","=""                                                     ""","=""L18327,L7185"""
"=""3d4.4s2""","=""a 5D""","=""2""","=""""","=""0.98287742""","=""""","=""0.00000014""","=""1.50060""","=""                                                     ""","=""L18327,L7185"""
"=""3d4.4s2""","=""a 5D""","=""3""","=""""","=""1.00367492""","=""""","=""0.00000014""","=""1.50060""","=""                                                     ""","=""L18327,L7185"""
"=""3d4.4s2""","=""a 5D""","=""4""","=""""","=""1.03000806""","=""""","=""0.00000015""","=""1.50060""","=""                                                     ""","=""L18327,L7185"""
"=""3d5.(4G).4s""","=""a 5G""","=""2""","=""""","=""2.54383615""","=""""","=""0.00000015""","=""0.37""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(4G).4s""","=""a 5G""","=""6""","=""""","=""2.54410014""","=""""","=""0.00000017""","=""1.33""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(4G).4s""","=""a 5G""","=""3""","=""""","=""2.54426770""","=""""","=""0.00000015""","=""0.93""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(4G).4s""","=""a 5G""","=""4""","=""""","=""2.54460569""","=""""","=""0.00000016""","=""1.13""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(4G).4s""","=""a 5G""","=""5""","=""""","=""2.54463928""","=""""","=""0.00000017""","=""1.25""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(4P).4s""","=""a 5P""","=""3""","=""""","=""2.70791527""","=""""","=""0.00000015""","=""1.6""","=""  98                                                 ""","=""L18327,L7185"""
"=""3d5.(4P).4s""","=""a 5P""","=""2""","=""""","=""2.70878630""","=""""","=""0.00000015""","=""1.847""","=""  98                                                 ""","=""L18327,L7185"""
"=""3d5.(4P).4s""","=""a 5P""","=""1""","=""""","=""2.70991379""","=""""","=""0.00000014""","=""2.500""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d4.4s2""","=""a 3P""","=""0""","=""""","=""2.87187333""","=""""","=""0.00000022""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s2""","=""a 3P""","=""1""","=""""","=""2.91511324""","=""""","=""0.00000017""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s2""","=""a 3P""","=""2""","=""""","=""2.98716595""","=""""","=""0.00000017""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(6S).4p""","=""z 7P*""","=""2""","=""""","=""2.88945207""","=""""","=""0.00000019""","=""2.334""","=""  67             :    33  3d4.(5D).4s.4p.(3P*)  7P*  ""","=""L18327,L7185"""
"=""3d5.(6S).4p""","=""z 7P*""","=""3""","=""""","=""2.89953685""","=""""","=""0.00000017""","=""1.9176""","=""  67             :    33  3d4.(5D).4s.4p.(3P*)  7P*  ""","=""L18327,L7185"""
"=""3d5.(6S).4p""","=""z 7P*""","=""4""","=""""","=""2.91348182""","=""""","=""0.00000017""","=""1.7510""","=""  67             :    31  3d4.(5D).4s.4p.(3P*)  7P*  ""","=""L18327,L7185"""
"=""3d4.4s2""","=""a 3H""","=""4""","=""""","=""2.96741996""","=""""","=""0.00000019""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s2""","=""a 3H""","=""5""","=""""","=""2.98256889""","=""""","=""0.00000017""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s2""","=""a 3H""","=""6""","=""""","=""3.00044215""","=""""","=""0.00000017""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(4D).4s""","=""b 5D""","=""0""","=""""","=""3.00997115""","=""""","=""0.00000019""","=""""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(4D).4s""","=""b 5D""","=""4""","=""""","=""3.01062753""","=""""","=""0.00000015""","=""1.51""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(4D).4s""","=""b 5D""","=""1""","=""""","=""3.01114742""","=""""","=""0.00000015""","=""1.48""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(4D).4s""","=""b 5D""","=""2""","=""""","=""3.01279642""","=""""","=""0.00000015""","=""1.51""","=""  98                                                 ""","=""L18327,L7185"""
"=""3d5.(4D).4s""","=""b 5D""","=""3""","=""""","=""3.01329987""","=""""","=""0.00000015""","=""1.55""","=""  98                                                 ""","=""L18327,L7185"""
"=""3d5.(4G).4s""","=""a 3G""","=""3""","=""""","=""3.07899825""","=""""","=""0.00000017""","=""""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(4G).4s""","=""a 3G""","=""4""","=""""","=""3.08689206""","=""""","=""0.00000017""","=""""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(4G).4s""","=""a 3G""","=""5""","=""""","=""3.10437812""","=""""","=""0.00000017""","=""""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d4.4s2""","=""a 3F""","=""2""","=""""","=""3.0922396""","=""""","=""0.0000003""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s2""","=""a 3F""","=""3""","=""""","=""3.11278390""","=""""","=""0.00000019""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s2""","=""a 3F""","=""4""","=""""","=""3.12159404""","=""""","=""0.00000017""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""0""","=""""","=""3.0960208""","=""""","=""0.0000004""","=""""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""1""","=""""","=""3.10092412""","=""""","=""0.00000025""","=""1.52""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""2""","=""""","=""3.11067051""","=""""","=""0.00000025""","=""1.50""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""3""","=""""","=""3.12514546""","=""""","=""0.00000025""","=""1.49""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""4""","=""""","=""3.14419143""","=""""","=""0.00000024""","=""1.51""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""5""","=""""","=""3.16762385""","=""""","=""0.00000024""","=""1.51""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""6""","=""""","=""3.1952485""","=""""","=""0.0000004""","=""1.53""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(6S).4p""","=""z 5P*""","=""3""","=""""","=""3.32122225""","=""""","=""0.00000014""","=""1.670""","=""  92                                                 ""","=""L18327,L7185"""
"=""3d5.(6S).4p""","=""z 5P*""","=""2""","=""""","=""3.32231395""","=""""","=""0.00000014""","=""1.830""","=""  91                                                 ""","=""L18327,L7185"""
"=""3d5.(6S).4p""","=""z 5P*""","=""1""","=""""","=""3.32301220""","=""""","=""0.00000014""","=""2.512""","=""  92                                                 ""","=""L18327,L7185"""
"=""3d5.(4P).4s""","=""b 3P""","=""0""","=""""","=""3.36779583""","=""""","=""0.00000017""","=""""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(4P).4s""","=""b 3P""","=""1""","=""""","=""3.36940787""","=""""","=""0.00000016""","=""""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(4P).4s""","=""b 3P""","=""2""","=""""","=""3.37521461""","=""""","=""0.00000016""","=""""","=""  98                                                 ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""z 7D*""","=""1""","=""""","=""3.38478638""","=""""","=""0.00000016""","=""3.01""","=""  99                                                 ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""z 7D*""","=""2""","=""""","=""3.39495688""","=""""","=""0.00000016""","=""1.99""","=""  99                                                 ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""z 7D*""","=""3""","=""""","=""3.40961132""","=""""","=""0.00000017""","=""1.76""","=""  99                                                 ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""z 7D*""","=""4""","=""""","=""3.42812540""","=""""","=""0.00000016""","=""1.66""","=""  99                                                 ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""z 7D*""","=""5""","=""""","=""3.44990008""","=""""","=""0.00000021""","=""1.61""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d4.4s2""","=""b 3G""","=""3""","=""""","=""3.42162179""","=""""","=""0.00000017""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s2""","=""b 3G""","=""4""","=""""","=""3.43483025""","=""""","=""0.00000016""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s2""","=""b 3G""","=""5""","=""""","=""3.44884096""","=""""","=""0.00000017""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.(5D).4s.4p.(3P*)""","=""y 7P*""","=""2""","=""""","=""3.43793441""","=""""","=""0.00000016""","=""2.341""","=""  66             :    33  3d5.(6S).4p           7P*  ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""y 7P*""","=""3""","=""""","=""3.44926489""","=""""","=""0.00000016""","=""1.929""","=""  66             :    33  3d5.(6S).4p           7P*  ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""y 7P*""","=""4""","=""""","=""3.46352849""","=""""","=""0.00000020""","=""1.761""","=""  67             :    32  3d5.(6S).4p           7P*  ""","=""L18327,L7185"""
"=""3d5.(4D).4s""","=""a 3D""","=""3""","=""""","=""3.55053095""","=""""","=""0.00000016""","=""""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(4D).4s""","=""a 3D""","=""1""","=""""","=""3.55579538""","=""""","=""0.00000017""","=""""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(4D).4s""","=""a 3D""","=""2""","=""""","=""3.55614020""","=""""","=""0.00000016""","=""""","=""  98                                                 ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""y 5P*""","=""1""","=""""","=""3.64772230""","=""""","=""0.00000015""","=""2.513""","=""  95                                                 ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""y 5P*""","=""2""","=""""","=""3.66801930""","=""""","=""0.00000014""","=""1.836""","=""  95                                                 ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""y 5P*""","=""3""","=""""","=""3.69779039""","=""""","=""0.00000015""","=""1.669""","=""  96                                                 ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""z 5F*""","=""1""","=""""","=""3.81713644""","=""""","=""0.00000016""","=""0.002""","=""  96                                                 ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""z 5F*""","=""2""","=""""","=""3.82599758""","=""""","=""0.00000015""","=""0.997""","=""  96                                                 ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""z 5F*""","=""3""","=""""","=""3.83921781""","=""""","=""0.00000015""","=""1.245""","=""  96                                                 ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""z 5F*""","=""4""","=""""","=""3.85669178""","=""""","=""0.00000020""","=""1.345""","=""  95                                                 ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""z 5F*""","=""5""","=""""","=""3.87826474""","=""""","=""0.00000017""","=""1.396""","=""  96                                                 ""","=""L18327,L7185"""
"=""3d5.(2D3).4s""","=""b 3D""","=""3""","=""""","=""3.84462239""","=""""","=""0.00000019""","=""""","=""  56             :    18  3d5.(2D1).4s          3D   ""","=""L18327,L7185"""
"=""3d5.(2D3).4s""","=""b 3D""","=""2""","=""""","=""3.84701382""","=""""","=""0.00000017""","=""""","=""  50             :    24  3d5.(4F).4s           5F   ""","=""L18327,L7185"""
"=""3d5.(2D3).4s""","=""b 3D""","=""1""","=""""","=""3.84955423""","=""""","=""0.00000020""","=""""","=""  45             :    41  3d5.(4F).4s           5F   ""","=""L18327,L7185"""
"=""3d5.(2I).4s""","=""a 3I""","=""7""","=""""","=""3.84945609""","=""""","=""0.00000024""","=""""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(2I).4s""","=""a 3I""","=""6""","=""""","=""3.84961210""","=""""","=""0.00000025""","=""""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(2I).4s""","=""a 3I""","=""5""","=""""","=""3.85036371""","=""""","=""0.00000022""","=""""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(4F).4s""","=""a 5F""","=""1""","=""""","=""3.8872001""","=""""","=""0.0000003""","=""""","=""  59             :    31  3d5.(2D3).4s          3D   ""","=""L18327,L7185"""
"=""3d5.(4F).4s""","=""a 5F""","=""2""","=""""","=""3.88753932""","=""""","=""0.00000021""","=""""","=""  74             :    12  3d5.(2D3).4s          3D   ""","=""L18327,L7185"""
"=""3d5.(4F).4s""","=""a 5F""","=""3""","=""""","=""3.88866925""","=""""","=""0.00000019""","=""""","=""  88             :     6  3d5.(2D3).4s          3D   ""","=""L18327,L7185"""
"=""3d5.(4F).4s""","=""a 5F""","=""4""","=""""","=""3.89035912""","=""""","=""0.00000019""","=""""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(4F).4s""","=""a 5F""","=""5""","=""""","=""3.89227274""","=""""","=""0.00000019""","=""""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d4.4s2""","=""a 1G""","=""4""","=""""","=""3.965856""","=""""","=""0.000004""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s2""","=""a 1I""","=""6""","=""""","=""3.9795577""","=""""","=""0.0000004""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(2F1).4s""","=""b 3F""","=""2""","=""""","=""4.0964341""","=""""","=""0.0000003""","=""""","=""  79             :    14  3d5.(2D3).4s          3D   ""","=""L18327,L7185"""
"=""3d5.(2F1).4s""","=""b 3F""","=""3""","=""""","=""4.0989996""","=""""","=""0.0000005""","=""""","=""  83             :    13  3d5.(2D3).4s          3D   ""","=""L18327,L7185"""
"=""3d5.(2F1).4s""","=""b 3F""","=""4""","=""""","=""4.1055150""","=""""","=""0.0000004""","=""""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""z 5D*""","=""0""","=""""","=""4.13341698""","=""""","=""0.00000016""","=""""","=""  89             :     8  3d4.(5D).4s.4p.(3P*)  3P*  ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""z 5D*""","=""1""","=""""","=""4.14402113""","=""""","=""0.00000016""","=""1.499""","=""  93                                                 ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""z 5D*""","=""2""","=""""","=""4.15869020""","=""""","=""0.00000014""","=""1.497""","=""  96                                                 ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""z 5D*""","=""3""","=""""","=""4.17473732""","=""""","=""0.00000015""","=""1.497""","=""  97                                                 ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""z 5D*""","=""4""","=""""","=""4.19265380""","=""""","=""0.00000016""","=""1.499""","=""  97                                                 ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""z 3P*""","=""0""","=""""","=""4.18602054""","=""""","=""0.00000017""","=""""","=""  88             :     8  3d4.(5D).4s.4p.(3P*)  5D*  ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""z 3P*""","=""1""","=""""","=""4.20272344""","=""""","=""0.00000017""","=""1.49""","=""  92                                                 ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""z 3P*""","=""2""","=""""","=""4.23907331""","=""""","=""0.00000016""","=""1.55""","=""  95                                                 ""","=""L18327,L7185"""
"=""3d5.(2I).4s""","=""b 1I""","=""6""","=""""","=""4.1860366""","=""""","=""0.0000004""","=""""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d4.4s2""","=""c 3D""","=""1""","=""""","=""4.2038751""","=""""","=""0.0000012""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s2""","=""c 3D""","=""3""","=""""","=""4.2073736""","=""""","=""0.0000007""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s2""","=""c 3D""","=""2""","=""""","=""4.2074798""","=""""","=""0.0000009""","=""""","=""                                                     ""","=""L18327"""
"=""3d6""","=""c 5D""","=""4""","=""""","=""4.38878728""","=""""","=""0.00000017""","=""""","=""                                                     ""","=""L18327"""
"=""3d6""","=""c 5D""","=""3""","=""""","=""4.40158502""","=""""","=""0.00000014""","=""""","=""                                                     ""","=""L18327"""
"=""3d6""","=""c 5D""","=""2""","=""""","=""4.41047990""","=""""","=""0.00000014""","=""""","=""                                                     ""","=""L18327"""
"=""3d6""","=""c 5D""","=""1""","=""""","=""4.41612877""","=""""","=""0.00000015""","=""""","=""                                                     ""","=""L18327"""
"=""3d6""","=""c 5D""","=""0""","=""""","=""4.41887660""","=""""","=""0.00000017""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(4F).4s""","=""c 3F""","=""2""","=""""","=""4.439590""","=""""","=""0.000003""","=""""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(4F).4s""","=""c 3F""","=""3""","=""""","=""4.4403310""","=""""","=""0.0000012""","=""""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(4F).4s""","=""c 3F""","=""4""","=""""","=""4.44641605""","=""""","=""0.00000025""","=""""","=""  98                                                 ""","=""L18327,L7185"""
"=""3d5.(2H).4s""","=""b 3H""","=""4""","=""""","=""4.4473700""","=""""","=""0.0000005""","=""""","=""  98                                                 ""","=""L18327,L7185"""
"=""3d5.(2H).4s""","=""b 3H""","=""5""","=""""","=""4.4490806""","=""""","=""0.0000004""","=""""","=""  98                                                 ""","=""L18327,L7185"""
"=""3d5.(2H).4s""","=""b 3H""","=""6""","=""""","=""4.4552365""","=""""","=""0.0000004""","=""""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""z 3F*""","=""2""","=""""","=""4.45075789""","=""""","=""0.00000017""","=""""","=""  95                                                 ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""z 3F*""","=""3""","=""""","=""4.46766550""","=""""","=""0.00000016""","=""""","=""  95                                                 ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""z 3F*""","=""4""","=""""","=""4.48973240""","=""""","=""0.00000016""","=""""","=""  95                                                 ""","=""L18327,L7185"""
"=""3d5.(2F2).4s""","=""d 3F""","=""3""","=""""","=""4.5318872""","=""""","=""0.0000003""","=""""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(2F2).4s""","=""d 3F""","=""2""","=""""","=""4.5326696""","=""""","=""0.0000004""","=""""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(2F2).4s""","=""d 3F""","=""4""","=""""","=""4.5350512""","=""""","=""0.0000003""","=""""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(6S).5s""","=""e 7S""","=""3""","=""""","=""4.57449693""","=""""","=""0.00000020""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(2G2).4s""","=""c 3G""","=""3""","=""""","=""4.6129376""","=""""","=""0.0000012""","=""""","=""  98                                                 ""","=""L18327,L7185"""
"=""3d5.(2G2).4s""","=""c 3G""","=""5""","=""""","=""4.6163561""","=""""","=""0.0000006""","=""""","=""  96                                                 ""","=""L18327,L7185"""
"=""3d5.(2G2).4s""","=""c 3G""","=""4""","=""""","=""4.6176689""","=""""","=""0.0000007""","=""""","=""  98                                                 ""","=""L18327,L7185"""
"=""3d5.(6S).5s""","=""e 5S""","=""2""","=""""","=""4.69694311""","=""""","=""0.00000014""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(2H).4s""","=""a 1H""","=""5""","=""""","=""4.7780523""","=""""","=""0.0000004""","=""""","=""  98                                                 ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""z 3D*""","=""1""","=""""","=""4.78541708""","=""""","=""0.00000017""","=""""","=""  96                                                 ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""z 3D*""","=""2""","=""""","=""4.80198709""","=""""","=""0.00000016""","=""""","=""  96                                                 ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(3P*)""","=""z 3D*""","=""3""","=""""","=""4.82438691""","=""""","=""0.00000017""","=""""","=""  96                                                 ""","=""L18327,L7185"""
"=""3d5.(2G2).4s""","=""b 1G""","=""4""","=""""","=""4.855053""","=""""","=""0.000006""","=""""","=""  98                                                 ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(1P*)""","=""y 5F*""","=""1""","=""""","=""5.0717494""","=""""","=""0.0000014""","=""0.004""","=""  84             :    12  3d5.(4G).4p           5F*  ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(1P*)""","=""y 5F*""","=""2""","=""""","=""5.07978882""","=""""","=""0.00000025""","=""1.28""","=""  83             :    12  3d5.(4G).4p           5F*  ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(1P*)""","=""y 5F*""","=""3""","=""""","=""5.0940418""","=""""","=""0.0000009""","=""1.246""","=""  83             :    12  3d5.(4G).4p           5F*  ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(1P*)""","=""y 5F*""","=""4""","=""""","=""5.11121670""","=""""","=""0.00000021""","=""1.360""","=""  82             :    13  3d5.(4G).4p           5F*  ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(1P*)""","=""y 5F*""","=""5""","=""""","=""5.1321332""","=""""","=""0.0000010""","=""""","=""  82             :    14  3d5.(4G).4p           5F*  ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(1P*)""","=""x 5P*""","=""1""","=""""","=""5.07470726""","=""""","=""0.00000015""","=""2.455""","=""  68             :     7  3d5.(4P).4p           5P*  ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(1P*)""","=""x 5P*""","=""2""","=""""","=""5.08121834""","=""""","=""0.00000016""","=""1.76""","=""  56             :     7  3d5.(4P).4p           5P*  ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(1P*)""","=""x 5P*""","=""3""","=""""","=""5.08872640""","=""""","=""0.00000014""","=""1.640""","=""  55             :     8  3d5.(4P).4p           5P*  ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(1P*)""","=""y 5D*""","=""0""","=""""","=""5.11121771""","=""""","=""0.00000025""","=""""","=""  52             :    14  3d5.(4P).4p           5D*  ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(1P*)""","=""y 5D*""","=""1""","=""""","=""5.11919762""","=""""","=""0.00000022""","=""1.503""","=""  54             :    14  3d5.(4P).4p           5D*  ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(1P*)""","=""y 5D*""","=""2""","=""""","=""5.13405969""","=""""","=""0.00000022""","=""1.504""","=""  56             :    13  3d5.(4P).4p           5D*  ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(1P*)""","=""y 5D*""","=""3""","=""""","=""5.15465532""","=""""","=""0.00000025""","=""1.503""","=""  58             :    13  3d5.(4P).4p           5D*  ""","=""L18327,L7185"""
"=""3d4.(5D).4s.4p.(1P*)""","=""y 5D*""","=""4""","=""""","=""5.18032406""","=""""","=""0.00000024""","=""1.500""","=""  62             :    14  3d5.(4P).4p           5D*  ""","=""L18327,L7185"""
"=""3d4.(3H).4s.4p.(3P*)""","=""z 5H*""","=""3""","=""""","=""5.21049739""","=""""","=""0.00000025""","=""""","=""  61             :    20  3d5.(4G).4p           5H*  ""","=""L18327,L7185"""
"=""3d4.(3H).4s.4p.(3P*)""","=""z 5H*""","=""4""","=""""","=""5.21722114""","=""""","=""0.00000024""","=""""","=""  55             :    19  3d5.(4G).4p           5H*  ""","=""L18327,L7185"""
"=""3d4.(3H).4s.4p.(3P*)""","=""z 5H*""","=""5""","=""""","=""5.2263678""","=""""","=""0.0000004""","=""""","=""  48             :    17  3d5.(4G).4p           5H*  ""","=""L18327,L7185"""
"=""3d4.(3H).4s.4p.(3P*)""","=""z 5H*""","=""6""","=""""","=""5.2385978""","=""""","=""0.0000004""","=""""","=""  38             :    25  3d5.(4G).4p           5G*  ""","=""L18327,L7185"""
"=""3d4.(3H).4s.4p.(3P*)""","=""z 5H*""","=""7""","=""""","=""5.2553505""","=""""","=""0.0000004""","=""""","=""  65             :    24  3d5.(4G).4p           5H*  ""","=""L18327,L7185"""
"=""3d4.(3P1).4s.4p.(3P*)""","=""x 5D*""","=""0""","=""""","=""5.2344047""","=""""","=""0.0000004""","=""""","=""  49             :    26  3d4.(5D).4s.4p.(1P*)  5D*  ""","=""L18327,L7185"""
"=""3d4.(3P1).4s.4p.(3P*)""","=""x 5D*""","=""1""","=""""","=""5.24364408""","=""""","=""0.00000024""","=""1.501""","=""  47             :    26  3d4.(5D).4s.4p.(1P*)  5D*  ""","=""L18327,L7185"""
"=""3d4.(3P1).4s.4p.(3P*)""","=""x 5D*""","=""2""","=""""","=""5.2617345""","=""""","=""0.0000006""","=""1.494""","=""  43             :    21  3d4.(5D).4s.4p.(1P*)  5D*  ""","=""L18327,L7185"""
"=""3d4.(3P1).4s.4p.(3P*)""","=""x 5D*""","=""3""","=""""","=""5.28771005""","=""""","=""0.00000021""","=""1.498""","=""  40             :    22  3d4.(5D).4s.4p.(1P*)  5D*  ""","=""L18327,L7185"""
"=""3d4.(3P1).4s.4p.(3P*)""","=""x 5D*""","=""4""","=""""","=""5.31995962""","=""""","=""0.00000025""","=""1.497""","=""  45             :    20  3d4.(5D).4s.4p.(1P*)  5D*  ""","=""L18327,L7185"""
"=""3d5.(6S).5p""","=""x 7P*""","=""2""","=""""","=""5.2368392""","=""""","=""0.0000009""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(6S).5p""","=""x 7P*""","=""3""","=""""","=""5.2388241""","=""""","=""0.0000009""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(6S).5p""","=""x 7P*""","=""4""","=""""","=""5.241456""","=""""","=""0.000025""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(6S).4d""","=""e 7D""","=""1""","=""""","=""5.23873429""","=""""","=""0.00000022""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(6S).4d""","=""e 7D""","=""2""","=""""","=""5.23887703""","=""""","=""0.00000020""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(6S).4d""","=""e 7D""","=""3""","=""""","=""5.23908705""","=""""","=""0.00000019""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(6S).4d""","=""e 7D""","=""4""","=""""","=""5.23936898""","=""""","=""0.00000017""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(6S).4d""","=""e 7D""","=""5""","=""""","=""5.23972421""","=""""","=""0.00000020""","=""1.55""","=""                                                     ""","=""L18327,L7185"""
