13d 	 2D 	 3/2 	  3.9243478              	  0.0000007   	 L10669 
 	 	 5/2 	  3.9249870              	  0.0000007   	 L10669 
 	 	 	 	 	 
15s 	 2S 	 1/2 	  3.9346611              	  0.0000007   	 L10669 
 	 	 	 	 	 
15p 	 2P° 	 1/2 	  3.946883               	  0.000006    	 L11797 
 	 	 3/2 	  3.949225               	  0.000006    	 L11797 
 	 	 	 	 	 
14d 	 2D 	 3/2 	  3.9510890              	  0.0000007   	 L10669 
 	 	 5/2 	  3.9515641              	  0.0000007   	 L10669 
 	 	 	 	 	 
16s 	 2S 	 1/2 	  3.9587893              	  0.0000007   	 L10669 
 	 	 	 	 	 
16p 	 2P° 	 1/2 	  3.968015               	  0.000006    	 L11797 
 	 	 3/2 	  3.969794               	  0.000006    	 L11797 
 	 	 	 	 	 
15d 	 2D 	 3/2 	  3.9712026              	  0.0000007   	 L10669 
 	 	 5/2 	  3.9715636              	  0.0000007   	 L10669 
 	 	 	 	 	 
17s 	 2S 	 1/2 	  3.9771021              	  0.0000007   	 L10669 
 	 	 	 	 	 
17p 	 2P° 	 1/2 	  3.984236               	  0.000006    	 L11797 
 	 	 3/2 	  3.985621               	  0.000006    	 L11797 
 	 	 	 	 	 
16d 	 2D 	 3/2 	  3.9867093              	  0.0000007   	 L10669 
 	 	 5/2 	  3.9869938              	  0.0000007   	 L10669 
 	 	 	 	 	 
18s 	 2S 	 1/2 	  3.9913304              	  0.0000007   	 L10669 
 	 	 	 	 	 
18p 	 2P° 	 1/2 	  3.996959               	  0.000006    	 L11797 
 	 	 3/2 	  3.998058               	  0.000006    	 L11797 
 	 	 	 	 	 
17d 	 2D 	 3/2 	  3.9989180              	  0.0000007   	 L10669 
 	 	 5/2 	  3.9991444              	  0.0000007   	 L10669 
 	 	 	 	 	 
19s 	 2S 	 1/2 	  4.0026042              	  0.0000007   	 L10669 
 	 	 	 	 	 
19p 	 2P° 	 1/2 	  4.007123               	  0.000006    	 L11797 
 	 	 3/2 	  4.008009               	  0.000006    	 L11797 
 	 	 	 	 	 
18d 	 2D 	 3/2 	  4.0087010              	  0.0000007   	 L10669 
 	 	 5/2 	  4.0088836              	  0.0000007   	 L10669 
 	 	 	 	 	 
20s 	 2S 	 1/2 	  4.0116878              	  0.0000007   	 L10669 
 	 	 	 	 	 
20p 	 2P° 	 1/2 	  4.015371               	  0.000006    	 L11797 
 	 	 3/2 	  4.016095               	  0.000006    	 L11797 
 	 	 	 	 	 
19d 	 2D 	 3/2 	  4.0166605              	  0.0000007   	 L10669 
 	 	 5/2 	  4.0168104              	  0.0000007   	 L10669 
 	 	 	 	 	 
21s 	 2S 	 1/2 	  4.0191139              	  0.0000007   	 L10669 
 	 	 	 	 	 
22d 	 2D 	 5/2 	  4.021002               	  0.000004    	 L11797 
 	 	 3/2 	  4.033313               	  0.000004    	 L11797 
 	 	 	 	 	 
21p 	 2P° 	 1/2 	  4.022155               	  0.000006    	 L11797 
 	 	 3/2 	  4.022755               	  0.000006    	 L11797 
 	 	 	 	 	 
20d 	 2D 	 3/2 	  4.0232231              	  0.0000007   	 L10669 
 	 	 5/2 	  4.0233477              	  0.0000007   	 L10669 
 	 	 	 	 	 
22s 	 2S 	 1/2 	  4.0252632              	  0.0000007   	 L10669 
 	 	 	 	 	 
22p 	 2P° 	 1/2 	  4.027804               	  0.000006    	 L11797 
 	 	 3/2 	  4.028306               	  0.000006    	 L11797 
 	 	 	 	 	 
21d 	 2D 	 3/2 	  4.028698               	  0.000004    	 L11797 
 	 	 5/2 	  4.028802               	  0.000004    	 L11797 
 	 	 	 	 	 
23s 	 2S 	 1/2 	  4.030413               	  0.000004    	 L11797 
 	 	 	 	 	 
23p 	 2P° 	 1/2 	  4.032556               	  0.000006    	 L11797 
 	 	 3/2 	  4.032982               	  0.000006    	 L11797 
 	 	 	 	 	 
24s 	 2S 	 1/2 	  4.034767               	  0.000004    	 L11797 
 	 	 	 	 	 
24p 	 2P° 	 1/2 	  4.036593               	  0.000006    	 L11797 
 	 	 3/2 	  4.036956               	  0.000006    	 L11797 
 	 	 	 	 	 
23d 	 2D 	 3/2 	  4.037238               	  0.000004    	 L11797 
 	 	 5/2 	  4.037314               	  0.000004    	 L11797 
