 	 	 3/2 	  3.8185710                       	  0.0000004       	 L7057,L6284 
 	 	 	 	 	 
5p616d 	 2D 	 3/2 	  3.81952272                      	  0.00000006      	 L6147 
 	 	 5/2 	  3.819622484                     	  0.000000025     	 L7057 
 	 	 	 	 	 
5p618s 	 2S 	 1/2 	  3.823984841                     	  0.000000025     	 L7057 
 	 	 	 	 	 
5p614f 	 2F° 	 7/2 	  3.824165349                     	  0.000000019     	 L7057,L4940 
 	 	 5/2 	  3.824166742                     	  0.000000019     	 L7057 
 	 	 	 	 	 
5p614g 	 2G 	 7/2 	  3.824421821                     	  0.000000019     	 L7057 
 	 	 	 	 	 
5p618p 	 2P° 	 1/2 	  3.828352787                     	  0.000000019     	 L7057 
 	 	 3/2 	  3.828647273                     	  0.000000025     	 L7057,L6284 
 	 	 	 	 	 
5p617d 	 2D 	 3/2 	  3.82941264                      	  0.00000006      	 L6147 
 	 	 5/2 	  3.829493134                     	  0.000000025     	 L7057 
 	 	 	 	 	 
5p619s 	 2S 	 1/2 	  3.833027612                     	  0.000000025     	 L7057 
 	 	 	 	 	 
5p615f 	 2F° 	 7/2 	  3.833171929                     	  0.000000019     	 L7057,L4940 
 	 	 5/2 	  3.833173072                     	  0.000000019     	 L7057 
 	 	 	 	 	 
5p615g 	 2G 	 7/2 	  3.833381198                     	  0.000000019     	 L7057 
 	 	 	 	 	 
5p619p 	 2P° 	 1/2 	  3.836587939                     	  0.000000019     	 L7057 
 	 	 3/2 	  3.8368290                       	  0.0000004       	 L7057,L6284 
 	 	 	 	 	 
5p618d 	 2D 	 3/2 	  3.83745366                      	  0.00000006      	 L6147 
 	 	 5/2 	  3.837519556                     	  0.000000025     	 L7057 
 	 	 	 	 	 
5p620s 	 2S 	 1/2 	  3.840422987                     	  0.000000025     	 L7057 
 	 	 	 	 	 
5p616f 	 2F° 	 7/2 	  3.840540259                     	  0.000000019     	 L7057,L4940 
 	 	 5/2 	  3.840541207                     	  0.000000019     	 L7057 
 	 	 	 	 	 
5p616g 	 2G 	 7/2 	  3.840713179                     	  0.000000019     	 L7057 
 	 	 	 	 	 
5p620p 	 2P° 	 1/2 	  3.843360                        	  0.000004        	 L4891,L6284 
 	 	 3/2 	  3.843560                        	  0.000004        	 L4891 
 	 	 	 	 	 
5p619d 	 2D 	 3/2 	  3.84407924                      	  0.00000006      	 L7057,L5177 
 	 	 5/2 	  3.844134078                     	  0.000000025     	 L7057 
 	 	 	 	 	 
5p621s 	 2S 	 1/2 	  3.846548204                     	  0.000000025     	 L7057 
 	 	 	 	 	 
5p617f 	 2F° 	 7/2 	  3.846644809                     	  0.000000021     	 L7057,L4940 
 	 	 5/2 	  3.846645597                     	  0.000000019     	 L7057 
 	 	 	 	 	 
5p617g 	 2G 	 7/2 	  3.846789325                     	  0.000000019     	 L7057 
 	 	 	 	 	 
5p621p 	 2P° 	 1/2 	  3.849004282                     	  0.000000019     	 L7057 
 	 	 3/2 	  3.8491718                       	  0.0000004       	 L7057,L6284 
 	 	 	 	 	 
5p620d 	 2D 	 3/2 	  3.84960343                      	  0.00000006      	 L7057,L5177 
 	 	 5/2 	  3.849649478                     	  0.000000025     	 L7057 
 	 	 	 	 	 
5p622s 	 2S 	 1/2 	  3.851678300                     	  0.000000025     	 L7057 
 	 	 	 	 	 
5p618f 	 2F° 	 7/2 	  3.851758872                     	  0.000000020     	 L7057,L4940 
 	 	 5/2 	  3.851759542                     	  0.000000019     	 L7057 
 	 	 	 	 	 
5p618g 	 2G 	 7/2 	  3.851880864                     	  0.000000019     	 L7057 
 	 	 	 	 	 
5p622p 	 2P° 	 1/2 	  [3.853750986]                    	  0.000000025     	 L7057 
 	 	 3/2 	  3.853896                        	  0.000004        	 L4891 
 	 	 	 	 	 
5p621d 	 2D 	 3/2 	  3.85425740                      	  0.00000006      	 L7057,L5177 
 	 	 5/2 	  3.854296426                     	  0.000000025     	 L7057 
 	 	 	 	 	 
5p623s 	 2S 	 1/2 	  3.856017742                     	  0.000000025     	 L7057 
 	 	 	 	 	 
5p619f 	 2F° 	 7/2 	  3.856085694                     	  0.000000021     	 L7057,L6284 
 	 	 5/2 	  3.856086267                     	  0.000000019     	 L7057 
 	 	 	 	 	 
5p619g 	 2G 	 7/2 	  [3.856189418]                    	  0.000000019     	 L7057 
 	 	 	 	 	 
5p623p 	 2P° 	 1/2 	  3.857782881                     	  0.000000019     	 L7057 
 	 	 3/2 	  3.857903527                     	  0.000000025     	 L7057,L6284 
 	 	 	 	 	 
5p622d 	 2D 	 3/2 	  3.85821481                      	  0.00000006      	 L7057,L5177 
 	 	 5/2 	  3.858248132                     	  0.000000025     	 L7057 
