Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""3p6.37s""","=""2S""","=""1/2""","=""[""","=""4.32944112""","=""]""","=""0.00000009""","=""0.0000620""","=""""","=""L5451"""
"=""3p6.36d""","=""2D""","=""5/2""","=""""","=""4.33000187""","=""""","=""0.00000009""","=""0.0005607""","=""""","=""L5451"""
"=""3p6.36d""","=""2D""","=""3/2""","=""""","=""4.33000198""","=""""","=""0.00000009""","=""0.0000001""","=""""","=""L5451"""
"=""3p6.38s""","=""2S""","=""1/2""","=""""","=""4.33005896""","=""""","=""0.00000009""","=""0.0000570""","=""""","=""L5451"""
"=""3p6.37d""","=""2D""","=""5/2""","=""[""","=""4.33057459""","=""]""","=""0.00000009""","=""0.0005156""","=""""","=""L5451"""
"=""3p6.37d""","=""2D""","=""3/2""","=""[""","=""4.33057467""","=""]""","=""0.00000009""","=""0.0000001""","=""""","=""L5451"""
"=""3p6.39s""","=""2S""","=""1/2""","=""[""","=""4.33062713""","=""]""","=""0.00000009""","=""0.0000525""","=""""","=""L5451"""
"=""3p6.38d""","=""2D""","=""5/2""","=""""","=""4.33110233""","=""""","=""0.00000009""","=""0.0004752""","=""""","=""L5451"""
"=""3p6.38d""","=""2D""","=""3/2""","=""""","=""4.33110242""","=""""","=""0.00000009""","=""0.0000001""","=""""","=""L5451"""
"=""3p6.40s""","=""2S""","=""1/2""","=""""","=""4.33115084""","=""""","=""0.00000009""","=""0.0000484""","=""""","=""L5451"""
"=""3p6.39d""","=""2D""","=""5/2""","=""[""","=""4.33158973""","=""]""","=""0.00000009""","=""0.0004389""","=""""","=""L5451"""
"=""3p6.39d""","=""2D""","=""3/2""","=""[""","=""4.33158981""","=""]""","=""0.00000009""","=""0.0000001""","=""""","=""L5451"""
"=""3p6.41s""","=""2S""","=""1/2""","=""[""","=""4.33163460""","=""]""","=""0.00000009""","=""0.0000448""","=""""","=""L5451"""
"=""3p6.40d""","=""2D""","=""5/2""","=""""","=""4.33204079""","=""""","=""0.00000009""","=""0.0004062""","=""""","=""L5451"""
"=""3p6.40d""","=""2D""","=""3/2""","=""""","=""4.33204087""","=""""","=""0.00000009""","=""0.0000001""","=""""","=""L5451"""
"=""3p6.42s""","=""2S""","=""1/2""","=""""","=""4.33208240""","=""""","=""0.00000009""","=""0.0000415""","=""""","=""L5451"""
"=""3p6.41d""","=""2D""","=""5/2""","=""[""","=""4.33245902""","=""]""","=""0.00000009""","=""0.0003766""","=""""","=""L5451"""
"=""3p6.41d""","=""2D""","=""3/2""","=""[""","=""4.33245911""","=""]""","=""0.00000009""","=""0.0000001""","=""""","=""L5451"""
"=""3p6.43s""","=""2S""","=""1/2""","=""[""","=""4.33249763""","=""]""","=""0.00000009""","=""0.0000385""","=""""","=""L5451"""
"=""3p6.42d""","=""2D""","=""5/2""","=""""","=""4.33284759""","=""""","=""0.00000009""","=""0.0003500""","=""""","=""L5451"""
"=""3p6.42d""","=""2D""","=""3/2""","=""[""","=""4.33284764""","=""]""","=""0.00000009""","=""0.0000000""","=""""","=""L5451"""
"=""3p6.44s""","=""2S""","=""1/2""","=""""","=""4.33288347""","=""""","=""0.00000009""","=""0.0000358""","=""""","=""L5451"""
"=""3p6.43d""","=""2D""","=""5/2""","=""[""","=""4.33320913""","=""]""","=""0.00000009""","=""0.0003257""","=""""","=""L5451"""
"=""3p6.43d""","=""2D""","=""3/2""","=""[""","=""4.33320920""","=""]""","=""0.00000009""","=""0.0000001""","=""""","=""L5451"""
"=""3p6.45s""","=""2S""","=""1/2""","=""[""","=""4.33324259""","=""]""","=""0.00000009""","=""0.0000334""","=""""","=""L5451"""
"=""3p6.44d""","=""2D""","=""5/2""","=""[""","=""4.33354618""","=""]""","=""0.00000009""","=""0.0003036""","=""""","=""L5451"""
"=""3p6.44d""","=""2D""","=""3/2""","=""[""","=""4.33354625""","=""]""","=""0.00000009""","=""0.0000001""","=""""","=""L5451"""
"=""3p6.46s""","=""2S""","=""1/2""","=""""","=""4.33357740""","=""""","=""0.00000009""","=""0.0000311""","=""""","=""L5451"""
"=""3p6.45d""","=""2D""","=""5/2""","=""[""","=""4.33386087""","=""]""","=""0.00000009""","=""0.0002835""","=""""","=""L5451"""
"=""3p6.45d""","=""2D""","=""3/2""","=""[""","=""4.33386094""","=""]""","=""0.00000009""","=""0.0000001""","=""""","=""L5451"""
"=""3p6.46d""","=""2D""","=""5/2""","=""""","=""4.33415514""","=""""","=""0.00000009""","=""0.0002942""","=""""","=""L5451"""
"=""3p6.46d""","=""2D""","=""3/2""","=""[""","=""4.33415521""","=""]""","=""0.00000009""","=""0.0000001""","=""""","=""L5451"""
"=""K II (3p6 1S<0>)""","=""Limit""","=""---""","=""""","=""4.34066373""","=""""","=""0.00000009""","=""""","=""""","=""L5451,L5783,L7185"""
"=""3p5.4s2""","=""2P*""","=""3/2""","=""""","=""18.7226""","=""""","=""0.0004""","=""14.3819""","=""""","=""L3602"""
"=""3p5.4s2""","=""2P*""","=""1/2""","=""""","=""18.9801""","=""""","=""0.0004""","=""0.2575""","=""""","=""L3602"""
"=""3p5.3d.(3P*).4s""","=""4P*""","=""1/2""","=""""","=""19.7590""","=""""","=""0.0005""","=""0.7789""","=""""","=""L3602"""
"=""3p5.3d.(3P*).4s""","=""4P*""","=""3/2""","=""""","=""19.7975""","=""""","=""0.0005""","=""0.0385""","=""""","=""L3602"""
"=""3p5.3d.(3P*).4s""","=""4P*""","=""5/2""","=""""","=""19.868""","=""""","=""0.008""","=""0.070""","=""""","=""L4582"""
"=""3p5.(2P*).4s.4p.(3P*)""","=""4S""","=""3/2""","=""""","=""20.020""","=""""","=""0.008""","=""0.15""","=""""","=""L4582"""
"=""3p5.3d.(3P*).4s""","=""2P*""","=""1/2""","=""""","=""20.1355""","=""""","=""0.0005""","=""0.116""","=""""","=""L3602"""
"=""3p5.3d.(3P*).4s""","=""2P*""","=""3/2""","=""""","=""20.2102""","=""""","=""0.0005""","=""0.0747""","=""""","=""L3602"""
"=""3p5.(2P*).4s.4p.(3P*)""","=""4D""","=""3/2""","=""""","=""20.396""","=""""","=""0.008""","=""0.186""","=""""","=""L4582"""
"=""3p5.(2P*).4s.4p.(3P*)""","=""4D""","=""1/2""","=""""","=""20.457""","=""""","=""0.008""","=""0.06""","=""""","=""L4582"""
"=""3p5.3d.(3F*).4s""","=""4F*""","=""7/2""","=""""","=""20.484""","=""""","=""0.008""","=""0.03""","=""""","=""L4582"""
"=""3p5.3d.(3F*).4s""","=""4F*""","=""5/2""","=""""","=""20.548""","=""""","=""0.008""","=""0.06""","=""""","=""L4582"""
"=""3p5.3d.(3F*).4s""","=""4F*""","=""3/2""","=""""","=""20.609""","=""""","=""0.008""","=""0.06""","=""""","=""L4582"""
"=""3p5.(2P*).4s.4p.(3P*)""","=""2D""","=""3/2""","=""""","=""20.644""","=""""","=""0.008""","=""0.03""","=""""","=""L4582"""
"=""3p5.(2P*).4s.4p.(3P*)""","=""2D""","=""5/2""","=""""","=""20.699""","=""""","=""0.008""","=""0.06""","=""""","=""L4582"""
"=""3p5.3d.(3F*).4s""","=""2F*""","=""7/2""","=""""","=""20.771""","=""""","=""0.008""","=""0.07""","=""""","=""L4582"""
"=""3p5.3d.(3F*).4s""","=""2F*""","=""5/2""","=""""","=""20.825""","=""""","=""0.008""","=""0.05""","=""""","=""L4582"""
"=""3p5.(2P*).4s.4p.(3P*)""","=""2P""","=""1/2""","=""""","=""20.876""","=""""","=""0.008""","=""0.05""","=""""","=""L4582"""
"=""3p5.(2P*).4s.4p.(3P*)""","=""2P""","=""3/2""","=""""","=""20.893""","=""""","=""0.008""","=""0.02""","=""""","=""L4582"""
"=""3p5.3d.(3D*).4s""","=""4D*""","=""7/2""","=""""","=""21.334""","=""""","=""0.008""","=""0.44""","=""""","=""L4582"""
"=""3p5.3d.(3D*).4s""","=""4D*""","=""3/2""","=""""","=""21.4025""","=""""","=""0.0005""","=""0.069""","=""""","=""L3602"""
